Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVIDunavailable9,Public Services During COVIDunavailable9,Electronic Materials Added Due to COVIDunavailable9,Electronic Library Cards Issued Before COVIDunavailable9,Electronic Library Cards Issued During COVIDunavailable9,Reference Service During COVIDunavailable9,Outside Service During COVIDunavailable9,Live Virtual Programs During COVIDunavailable9,Recordings of Program Content During COVIDunavailable9,External WiFi Access Before COVIDunavailable9,External WiFi Access Added During COVIDunavailable9,External WiFi Access Increased During COVIDunavailable9,Staff Re-Assigned During COVIDunavailable9,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs (calculated),"# of Children's Programs - Live, In-person","# of Children's Programs - Live, Virtual",Children's Program Attendance,"Children's Program Attendance - Live, In-person","Children's Program Attendance - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,FSCS ID,Fiscal Year
SAN RAFAEL PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1100 E ST.,SAN RAFAEL,94901,1900,(415) 485-3323,(415) 485-3321,http://www.srpubliclibrary.org,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"59,807","30,473","7,292",1,2,0,3,"17,685","$4,457,996 ","$15,681 ",$0 ,"$28,399 ","$4,502,076 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,711,781 ","$1,027,123 ","$2,738,904 ","$81,794 ","$10,349 ","$92,143 ","$41,815 ","$18,783 ","$152,741 ","$1,594,750 ","$4,486,395 ",$0 ,70,9,11,11,22,3.25,"38,092","2,280","119,064","490,662","3,707","404,057","6,265","41,546",42,2,44,129,"4,271","200,738",Annual Count,"19,627",Annual Estimate Based on Typical Week(s),"234,781","101,600","8,770","131,419","224,652","356,071","366,200","590,852","37,741","34,466",516,356,160,"14,776","10,191","4,585",226,156,70,"3,645",140,"3,505",220,168,52,"2,192","1,512",680,16,490,962,"20,613",64,229,804,No,"16,342","139,190","79,811",28,CA0122,19-20
SANTA ANA PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,26 CIVIC CENTER PLAZA,SANTA ANA,92701,4010,(714) 647-5265,(714) 647-5264,https://www.santa-ana.org/library,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"335,052","138,890","28,999",1,5,0,6,"55,707","$5,498,724 ","$82,000 ",$0 ,"$36,085 ","$5,616,809 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,493,947 ","$536,950 ","$3,030,897 ","$178,564 ","$35,493 ","$214,057 ","$57,377 ","$51,186 ","$322,620 ","$1,137,242 ","$4,490,759 ",$0 ,73,15,15,39.24,54.24,1.52,"95,907","11,923","180,736","145,249","9,238",446,"16,549",986,0,3,3,43,"7,525","179,334",Annual Count,"16,587",Annual Count,"162,277","103,504","25,555","10,932","8,921","19,853","173,209","182,130",140,3,178,176,2,"7,730","4,495","3,235",436,415,21,"2,346","2,274",72,31,31,0,396,396,0,18,"6,803",645,"10,472",22,901,0,Yes,"28,314","71,527",unavailable,120,CA0123,19-20
SANTA BARBARA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,40 E. ANAPAMU ST.,SANTA BARBARA,93101,2722,(805) 564-5608,(805) 962-7653,http://sbplibrary.org,"1,164.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"129,191","56,121","9,847",1,3,0,4,"60,560","$5,733,007 ","$53,384 ","$53,238 ","$893,965 ","$6,733,594 ","$66,629 ",$0 ,$0 ,"$8,078 ","$74,707 ","$2,581,222 ","$625,304 ","$3,206,526 ","$257,405 ","$12,050 ","$269,455 ","$403,315 ","$67,711 ","$740,481 ","$2,185,584 ","$6,132,591 ","$302,557 ",61,14,14,36.86,50.86,4.92,"49,996","3,924","125,316","271,169","9,430","52,661","20,909","38,850",18,4,22,120,"6,845","470,094",Annual Count,unavailable,Annual Estimate Based on Typical Week(s),"652,700","280,076","32,260","280,281","120,595","400,876","932,981","1,053,576","64,683","61,542","1,369","1,278",91,"38,551","36,430","2,121",166,133,33,"2,693","2,092",601,690,622,68,"11,765","11,078",687,369,"9,314","2,225","53,009",61,"37,915","12,056",Yes,"48,322","369,930","146,505",86,CA0124,19-20
SANTA CLARA CITY LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2635 HOMESTEAD ROAD,SANTA CLARA,95051,5322,(408) 615-2930,(408) 615-2900,http://sclibrary.org,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"129,104","133,305","13,904",1,2,1,4,"105,122","$11,310,791 ","$73,072 ",$0 ,"$47,656 ","$11,431,519 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,064,438 ","$2,349,561 ","$7,413,999 ","$320,543 ","$33,001 ","$353,544 ","$503,017 ","$73,274 ","$929,835 ","$2,263,164 ","$10,606,998 ","$27,909 ",60,18,18,46.25,64.25,4.92,"170,130","14,131","396,080","535,598","18,684","395,796","29,113","17,292",50,1,51,426,unavailable,"912,798",Annual Count,"40,159",Annual Count,"1,598,171","1,069,524","33,042","224,291",unavailable,unavailable,"1,822,462",unavailable,"9,247","5,741",645,594,51,"53,191","48,569","4,622",131,117,14,"7,358","6,328","1,030",603,528,75,"21,676","18,668","3,008",35,751,"1,379","82,225",249,"63,909",unavailable,No,"88,449",unavailable,"251,632",203,CA0125,19-20
SANTA CLARA COUNTY LIBRARY,Santa Clara,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,Pacific Library Partnership,1370 DELL AVENUE,CAMPBELL,95008,1817,(408) 293-2326,(408) 293-2326,http://www.sccl.org,"1,046.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"444,238","486,488","145,101",0,8,2,10,"299,244","$58,114,216 ","$137,738 ","$33,591 ","$2,630,664 ","$60,916,209 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$21,414,766 ","$12,992,664 ","$34,407,430 ","$3,152,935 ","$279,541 ","$3,432,476 ","$3,309,278 ","$1,580,474 ","$8,322,228 ","$10,674,419 ","$53,404,077 ",$0 ,436,97.39,101.39,230.16,331.55,33.97,"761,177","65,938","1,510,051","206,026","144,774","71,820","283,263","25,927",88,4,92,"2,238",unavailable,"2,346,932",Annual Count,"270,614",Annual Count,"6,180,968","4,002,944","429,515","2,077,621","2,012,948","4,090,569","8,258,589","10,271,537",272,328,"2,824","2,642",182,"147,310","136,695","10,615",541,523,18,"18,899","11,381","7,518","1,832","1,578",254,"49,059","43,596","5,463",463,"35,588","5,197","215,268",unavailable,unavailable,unavailable,No,"280,758","2,381,225","1,324,801",319,CA0126,19-20
SANTA CLARITA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,23743 VALENCIA BLVD.,SANTA CLARITA,91355,2105,(661) 799-6132,(661) 259-0750,http://www.santaclaritalibrary.com,58,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"221,932","127,352","34,007",0,3,0,3,"71,066","$7,906,237 ","$5,000 ",$0 ,"$417,074 ","$8,328,311 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,676,261 ","$878,596 ","$3,554,857 ","$459,469 ","$12,283 ","$471,752 ","$478,636 ","$54,742 ","$1,005,130 ","$1,930,479 ","$6,490,466 ","$94,850 ",84,22,22,36,58,3.65,"113,259","13,453","230,332","27,677","9,992","7,053","17,839","1,458",34,1,35,125,"6,804","507,997",Annual Count,unavailable,unavailable,"665,701","422,797","10,467","161,452","54,634","216,086","827,153","881,787",0,4,870,798,72,"34,746","30,778","3,968",215,206,9,"1,786","1,672",114,447,427,20,"3,419","3,279",140,81,"1,623","1,532","39,951",69,"3,394","12,163",Yes,"79,349","395,702","35,024",169,CA0210,19-20
SANTA CRUZ PUBLIC LIBRARIES,Santa Cruz,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,Pacific Library Partnership,117 UNION STREET,SANTA CRUZ,95060,3873,(831) 427-7706,(831) 427-7707,http://www.santacruzpl.org/,436,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"219,718","160,754","20,523",1,8,1,11,"95,540","$13,786,804 ","$14,301 ","$5,000 ","$487,187 ","$14,293,292 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$7,035,509 ","$3,212,081 ","$10,247,590 ","$440,148 ","$80,000 ","$520,148 ","$591,771 ","$131,679 ","$1,243,598 ","$2,371,518 ","$13,862,706 ","$219,043 ",103,26,26,71.72,97.72,8.26,"120,192","12,686","352,484","91,704","33,098","51,243","26,329","84,202",30,1,31,"2,063",unavailable,"759,341",Annual Count,"57,159",Annual Estimate Based on Typical Week(s),"1,080,998","880,658","30,885","420,818","179,285","600,103","1,501,816","1,681,101",819,946,"1,335",,,"24,376",,,129,,,"1,578",,,"1,093",,,"1,583",,,0,0,"2,557","27,537",162,"7,053",unavailable,Yes,"101,532","1,355,674","359,200",298,CA0127,19-20
SANTA FE SPRINGS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11700 E. TELEGRAPH RD.,SANTA FE SPRINGS,90670,3600,(562) 868-7738,(562) 868-7738,http://www.sfslibrary.org,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"18,295","42,954","13,201",1,1,0,2,"16,300","$1,484,995 ","$35,342 ","$23,400 ","$29,011 ","$1,572,748 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$643,988 ","$623,607 ","$1,267,595 ","$58,471 ","$14,441 ","$72,912 ","$61,616 ","$10,082 ","$144,610 ","$160,543 ","$1,572,748 ",$0 ,25,4,4,13,17,0,"23,490","1,806","59,912","605,748","2,914","130,025","8,582","41,850",44,0,44,105,"2,988","102,333",Annual Count,"19,530",Annual Count,"134,993","69,006","7,569","6,952","1,055","8,007","141,945","143,000",29,46,519,516,3,"9,477","9,196",281,2,2,0,93,93,0,172,172,0,"2,349","2,349",0,2,439,693,"11,919",100,"8,119",unavailable,Yes,"16,602",unavailable,unavailable,31,CA0128,19-20
SANTA MARIA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,421 S. MCCLELLAND ST.,SANTA MARIA,93454,5116,(805) 925-0994,(805) 925-0994,http://www.cityofsantamaria.org/library,"1,260.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"152,851","42,748","7,682",1,4,1,6,"69,292","$3,537,026 ","$132,177 ",$0 ,"$138,672 ","$3,807,875 ",$0 ,$0 ,"$90,000 ","$30,000 ","$120,000 ","$1,617,549 ","$777,048 ","$2,394,597 ","$120,919 ","$11,143 ","$132,062 ","$52,619 ","$17,903 ","$202,584 ","$1,010,240 ","$3,607,421 ","$237,430 ",66,6,8,36.5,44.5,9.3,"53,643","8,327","168,754","313,904","14,555","117,135","19,071","31,531",8,3,11,224,unavailable,"210,090",Annual Count,"16,190",Annual Estimate Based on Typical Week(s),"358,560","176,261","22,028","68,842","10,276","79,118","427,402","437,678","61,381","29,101",410,410,0,"7,897","7,897",0,46,46,0,182,182,0,100,98,2,"2,969","2,958",11,41,"3,294",556,"11,048",14,499,0,Yes,"42,459","83,710","85,636",140,CA0129,19-20
SANTA MONICA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,601 SANTA MONICA BLVD,SANTA MONICA,90401,2501,(310) 458-8600,(310) 434-2608,http://www.smpl.org,8,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,"92,357","84,883","5,729",1,4,0,5,"136,376","$13,065,283 ","$67,083 ",$405 ,"$269,500 ","$13,402,271 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$7,585,528 ","$3,279,180 ","$10,864,708 ","$579,804 ","$95,020 ","$674,824 ","$364,250 ","$157,161 ","$1,196,235 ","$1,341,328 ","$13,402,271 ","$32,580 ",203,40.83,40.83,71.17,112,0.06,"117,142","17,103","362,042","438,214","21,201","365,928","37,134","16,600",23,1,24,728,"9,120","740,009",Annual Count,"97,932",Annual Estimate Based on Typical Week(s),"1,141,689","389,881","55,446","191,055","120,591","311,646","1,332,744","1,453,335","1,088",108,832,,,"28,858",,,80,,,"1,265",,,440,,,"8,808",,,64,"4,374","1,352","38,931",unavailable,unavailable,unavailable,No,"95,329","686,597","60,468",160,CA0130,19-20
SAUSALITO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,420 LITHO ST.,SAUSALITO,94965,1933,(415) 289-4121,(415) 289-4120,http://www.sausalitolibrary.org,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"7,252","4,989",354,1,0,0,1,"6,250","$950,919 ","$11,107 ",$0 ,"$26,855 ","$988,881 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$520,495 ","$176,879 ","$697,374 ","$56,350 ","$7,431 ","$63,781 ","$25,225 ","$11,644 ","$100,650 ","$83,377 ","$881,401 ",$0 ,30,3,4,3,7,0.5,"9,479","1,407","44,970","481,468","2,650","388,086","4,112","64,301",20,4,24,120,"2,394","86,949",Annual Count,"3,595",Annual Count,"80,620","17,247",242,"22,770",unavailable,unavailable,"103,390",unavailable,"25,147","12,251",176,,,"6,738",,,10,,,41,,,101,,,"2,040",,,0,0,287,"8,819",15,unavailable,unavailable,No,"9,392","35,133",unavailable,8,CA0132,19-20
SHASTA PUBLIC LIBRARIES,Shasta,Municipal Library,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1100 PARKVIEW,REDDING,96001,3231,(530) 245-7260,(530) 245-7252,http://www.shastalibraries.org,"3,850.00",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"178,045","64,328","18,757",1,2,0,3,"63,969","$2,270,494 ","$88,702 ",$0 ,"$74,826 ","$2,434,022 ",$0 ,$0 ,$0 ,"$64,620 ","$64,620 ",$0 ,$0 ,$0 ,"$151,603 ","$4,504 ","$156,107 ","$100,372 ","$25,713 ","$282,192 ","$2,287,274 ","$2,569,466 ","$23,893 ",34,5.8,5.8,18.53,24.33,6.71,"47,902","5,892","152,141","173,251","12,151","13,095","9,250",194,23,2,25,112,"5,002","754,348",Annual Count,"93,147",Annual Count,"304,105","153,659","1,451","60,467","50,721","111,188","364,572","415,293",0,0,376,0,0,"10,753",0,0,56,0,0,440,0,0,455,0,0,"3,093",0,0,6,212,887,"14,286",0,0,0,Yes,"53,832","183,227","26,325",96,CA0133,19-20
SIERRA MADRE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,440 W. SIERRA MADRE BLVD.,SIERRA MADRE,91024,2399,(626) 355-7186,(626) 355-7186,www.cityofsierramadre.com/services/library,3,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,"10,816","10,175","1,987",1,0,0,1,"8,762","$520,990 ",$0 ,"$8,000 ","$41,810 ","$570,800 ","$10,814 ",$0 ,$0 ,"$4,075 ","$14,889 ","$329,771 ","$84,272 ","$414,043 ","$36,622 ","$7,328 ","$43,950 ","$11,613 ","$6,050 ","$61,613 ","$95,140 ","$570,796 ","$14,889 ",12,3.45,3.45,4.38,7.83,1.08,"16,469","1,570","39,949","24,741","2,404","10,391","3,141",297,9,3,12,71,"1,441","53,269",Annual Count,"4,686",Annual Count,"88,596","55,428",568,"9,274","4,680","13,954","97,870","102,550",0,0,265,252,13,"6,733","6,695",38,38,35,3,550,521,29,98,98,0,"2,002","2,002",0,13,"1,026",401,"9,285",113,"11,577",0,No,"5,707",unavailable,"15,698",7,CA0134,19-20
SIGNAL HILL PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1780 EAST HILL ST.,SIGNAL HILL,90755,3632,(562) 989-7323,(562) 989-7323,http://www.cityofsignalhill.org/library,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,"11,712","2,912",771,1,0,0,1,"14,000","$438,350 ","$1,500 ",$0 ,$0 ,"$439,850 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$257,568 ","$91,540 ","$349,108 ","$38,400 ",$0 ,"$38,400 ","$2,005 ",$0 ,"$40,405 ","$50,842 ","$440,355 ",$0 ,12,1,1,3,4,10,"7,691","1,353","18,084",645,662,792,"2,084",342,2,0,2,46,"1,665","43,132",Annual Count,"1,895",Annual Count,"75,271","24,386","1,484","2,415",unavailable,unavailable,"77,686",unavailable,441,385,32,,,"4,211",,,22,,,426,,,23,,,707,,,15,231,77,"5,344",unavailable,unavailable,unavailable,Yes,"7,562","5,985","7,243",23,CA0166,19-20
SIMI VALLEY PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,2969 TAPO CANYON RD,SIMI VALLEY,93063,2117,(805) 526-1735,(805) 526-1735,www.simivalleylibrary.org,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"125,115","38,423","9,852",1,0,0,1,"35,000","$2,260,736 ","$3,500 ",$0 ,"$38,586 ","$2,302,822 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$762,610 ","$307,776 ","$1,070,386 ","$105,742 ","$5,227 ","$110,969 ","$154,264 ",$0 ,"$265,233 ","$785,423 ","$2,121,042 ",$0 ,20,4,4,12.33,16.33,3.2,"45,544","11,318","127,837","457,028","4,023","389,268","9,918","17,465",14,2,16,74,"1,907","101,136",Annual Count,"6,374",Annual Count,"275,325","193,930","3,611","58,358","10,435","68,793","333,683","344,118","8,799","20,181",302,0,0,"6,215",0,0,54,0,0,662,0,0,145,0,0,"1,703",0,0,11,751,501,"8,580",28,"3,860",475,Yes,"13,052",unavailable,"61,270",28,CA0211,19-20
SISKIYOU COUNTY FREE LIBRARY,Siskiyou,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,719 FOURTH ST.,YREKA,96097,3302,(530) 842-8807,(530) 842-8807,http://www.siskiyoulibrary.info,"6,267.00",Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,"44,461","10,090","2,285",1,11,0,12,"30,252","$732,464 ","$74,302 ","$111,739 ","$15,055 ","$933,560 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$199,286 ","$142,504 ","$341,790 ","$34,189 ",$0 ,"$34,189 ","$12,784 ","$9,160 ","$56,133 ","$205,235 ","$603,158 ",$0 ,4,2,2,2,4,4.1,"26,166","3,362","83,955","34,550","4,541","13,337","14,316",194,0,2,2,374,"9,633",unavailable,unavailable,unavailable,unavailable,"148,743","31,077",96,"14,936",unavailable,unavailable,"163,679",unavailable,0,20,unavailable,,,unavailable,,,unavailable,,,unavailable,unavailable,unavailable,,,,,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Yes,"18,883",unavailable,unavailable,63,CA0135,19-20
SOLANO COUNTY LIBRARY,Solano,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1150 KENTUCKY ST.,FAIRFIELD,94533,9988,(707) 784-1500,N/A,http://solanolibrary.com/,631,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"413,049","134,176","36,741",0,9,0,9,"146,774","$21,816,742 ","$99,855 ","$204,656 ","$624,703 ","$22,745,956 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$8,470,739 ","$4,617,443 ","$13,088,182 ","$543,845 ","$50,093 ","$593,938 ","$410,714 ","$255,505 ","$1,260,157 ","$4,863,249 ","$19,211,588 ","$649,556 ",270,42.3,42.3,78,120.3,15,"181,847","29,747","402,879","10,267","44,585","3,368","79,232",0,17,3,20,24,unavailable,"1,016,124",Annual Count,"125,263",Annual Estimate Based on Typical Week(s),"1,286,285","488,058","15,739","104,324","121,612","225,936","1,390,609","1,512,221","13,652","5,182","1,731","1,699",32,"84,207","73,219","10,988",289,264,25,"8,735","7,416","1,319",766,724,42,"15,788","13,617","2,171",0,0,"2,786","108,730",99,"37,644",unavailable,No,"104,511","271,522","168,506",278,CA0136,19-20
SONOMA COUNTY LIBRARY,Sonoma,Joint Powers Authority,County/Parish (exactly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,6135 STATE FARM DR.,ROHNERT PARK,94928,2147,(707) 545-0831,(707) 308-3020,http://sonomalibrary.org,"1,608.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"492,980","244,917","49,302",1,14,0,15,"200,547","$31,727,294 ","$47,868 ","$48,193 ","$1,549,818 ","$33,373,173 ","$1,194,617 ",$0 ,$0 ,"$23,855 ","$1,218,472 ","$13,726,148 ","$5,665,925 ","$19,392,073 ","$841,236 ","$127,522 ","$968,758 ","$1,801,217 ","$713,294 ","$3,483,269 ","$5,640,442 ","$28,515,784 ","$1,194,617 ",224,73,73,121.66,194.66,10.39,"259,820","34,128","658,185","264,632","30,416","162,126","67,294","125,042",82,3,85,"1,457","24,469","838,870",Annual Count,unavailable,unavailable,"2,332,990","988,141","71,785","854,139","494,124","1,348,263","3,187,129","3,681,253","141,231","130,938","2,862","2,862",0,"74,057","74,057",0,893,893,0,"20,093","20,093",0,"2,429","2,390",39,"36,141","35,890",251,"1,061","39,866","6,184","130,291",190,"6,621",219,No,"169,899","2,174,388","466,965",364,CA0137,19-20
SOUTH PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1100 OXLEY ST.,SOUTH PASADENA,91030,3198,(626) 403-7330,(626) 403-7350,www.southpasadenaca.gov/library,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,"25,458","37,727","4,320",1,0,0,1,"24,500","$1,839,491 ",$0 ,$0 ,$0 ,"$1,839,491 ","$35,000 ",$0 ,$0 ,$0 ,"$35,000 ","$840,195 ","$297,964 ","$1,138,159 ","$66,269 ","$10,604 ","$76,873 ","$73,581 ","$20,045 ","$170,499 ","$138,005 ","$1,446,663 ","$1,112 ",41,8.5,8.5,10.65,19.15,3.86,"41,543","5,111","108,114","27,228","9,371","11,209","9,294","24,612",13,3,16,153,"1,972","175,268",Annual Count,"8,013",Annual Count,"226,808","118,839","4,801","37,933","14,332","52,265","264,741","279,073",56,15,144,143,1,"6,657","6,595",62,20,14,6,586,502,84,50,50,0,"3,472","3,472",0,9,559,214,"10,715",5,378,378,No,"15,463","43,024",unavailable,15,CA0138,19-20
SOUTH SAN FRANCISCO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,840 W. ORANGE AVE.,SOUTH SAN FRANCISCO,94080,3125,(650) 829-3860,(650) 829-3860,http://www.ssf.net/library,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"67,879","30,745","9,057",1,2,0,3,"45,006","$5,806,294 ","$186,978 ","$43,294 ","$242,149 ","$6,278,715 ","$11,254,137 ",$0 ,$0 ,$0 ,"$11,254,137 ","$3,139,706 ","$1,581,604 ","$4,721,310 ","$131,602 ","$13,403 ","$145,005 ","$54,840 ","$68,202 ","$268,047 ","$951,494 ","$5,940,851 ","$10,255,535 ",88,14.06,14.06,27.43,41.49,3.88,"42,165","4,217","92,087","50,086","11,835","19,599","19,634","54,152",31,2,33,167,"4,832","266,345",Annual Count,"9,191",Annual Estimate Based on Typical Week(s),"412,649","158,755","13,983","37,988","25,304","63,292","450,637","475,941","56,551","27,006",894,878,16,"31,491","30,971",520,10,10,0,209,209,0,617,584,33,"5,868","5,728",140,119,"4,590","1,521","37,568",33,"2,796","2,774",No,"42,236","173,539","414,964",132,CA0139,19-20
