Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Number of kiosks,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Total Staff FTE,Total number of volunteers (count heads),Total hours volunteered in the reporting year,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,"Do you loan internet enabled devices? (Laptops, Chromebooks, etc.)",How many devices available for check-out and use outside the library?,Do you lend hot spots?,How many hot spots available for check-out and use outside the library?,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,Total Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded as of June 30,Electronic Collections State Funded,# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge any patrons late fines for physical materials?,Charge per day for Adults,For Young Adults,For Children,Physical Item Circulation,Circulation of Children's Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,"Circulation of internet-enabled devices (laptops, Chromebooks, etc)",Circulation of hotspots,Circulation of Other Physical Items,Circulation of Electronic Materials,Successful Retrieval of State-funded Electronic information (autofilled),Successful Retrieval of locally-funded electronic information,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Program Attendance,of Children's Programs (calculated),Program Attendance,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of General Interest Programs (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Virtual Visits to the library website,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,ILS System (choose from dropdown or enter other),# of self-directed activities,# of participants,Brief description of activities,FSCS ID,Year
SAN MATEO COUNTY LIBRARIES,San Mateo,Joint Powers Authority,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,125 LESSINGIA COURT,SAN MATEO,94402,4065,(650) 312-5258,N/A,http://smcl.org,351,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"273,808","214,285","52,949",0,13,0,13,0,"166,055","$37,892,439 ","$144,464 ","$38,472 ","$1,332,454 ","$39,407,829 ","$742,740 ",$0 ,$0 ,$0 ,"$742,740 ","$13,429,666 ","$6,456,883 ","$19,886,549 ","$1,291,119 ","$127,015 ","$1,418,134 ","$1,200,294 ","$212,720 ","$2,831,148 ","$11,129,662 ","$33,847,359 ","$2,055,390 ",135,53,53,69.35,122.35,276,"6,590.31","228,298","16,342","418,924","22,542","46,297",Yes,"1,671",Yes,"1,465","1,775","489,538","1,448","951,798","229,722","53,118",53,19,72,"28,556","935,621",Annual Count,-1,,No,,,,"2,172,994","1,322,124","204,255","284,944","133,750","7,223","7,223","11,578","700,444","27,423","137,856","165,279",,"865,723","3,038,717",Yes,"4,167","140,062","2,059","94,385","1,182","1,066",116,"46,279","43,863","2,416",877,609,268,"48,106","18,168","29,938",238,167,71,"7,641","3,124","4,517","1,630",581,"1,049","26,912","4,402","22,510",240,222,18,"11,124","10,525",599,283,"11,448",162,-1,No,"106,383",Annual Count,"1,665,520","4,965,537",Annual Count,523,Sierra (Innovative),"1,038","9,704","Take and Make kits, art tables, crafts, other passive activities for teens/tweens.",CA0120,21-22
SAN MATEO PUBLIC LIBRARY,San Mateo,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,55 WEST THIRD AVE,SAN MATEO,94402,1513,(650) 522-7802,(650) 522-7818,http://www.smplibrary.org,15,No,Yes,Yes,Yes,No,No,No,No,"107,576","72,053","17,010",1,2,0,3,0,"105,603","$7,375,128 ","$129,557 ",$0 ,"$139,415 ","$7,644,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,512,561 ","$1,609,108 ","$5,121,669 ","$255,858 ","$39,302 ","$295,160 ","$234,776 ","$68,554 ","$598,490 ","$1,923,941 ","$7,644,100 ","$85,671 ",135,22,25.16,47.2,72.36,497,"1,781.00","83,283","8,796","243,089","18,604","20,093",Yes,70,Yes,94,60,"281,846",252,"999,852","752,687","103,664",22,21,43,"7,488","255,644",Annual Count,"42,028",Annual Count,Yes,$0.25 ,$0.00 ,$0.00 ,"756,932","192,103","61,664","87,014","75,302",200,786,641,"226,292","19,677","101,576","121,253","983,224","347,545","1,104,477",Yes,621,"16,896",399,"13,835",217,196,21,"7,159","7,013",146,182,123,59,"6,676","5,077","1,599",51,48,3,660,628,32,165,140,25,"2,284","1,630",654,6,6,0,117,117,0,75,"6,830",30,209,No,"27,852",Annual Count,"127,913","606,574",Annual Count,130,Sierra (Innovative),20,619,"The self-directed activites included: storywalks, book bundles for 2nd graders, Dial-a-Story, Halloween crafts to take home, National Library Week Fill-In-The Blank Story, scavenger hunts, and Summer Reading Programs (note: we did not count Children's and YA summer reading programs or any winter reading programs). ",CA0121,21-22
SAN RAFAEL PUBLIC LIBRARY,Marin,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1100 E ST.,SAN RAFAEL,94901,1900,(415) 485-3323,(415) 485-3321,http://www.srpubliclibrary.org,22,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"60,560","38,707","8,815",1,2,0,3,0,"17,685","$4,322,614 ","$17,820 ",$0 ,"$28,018 ","$4,368,452 ",$0 ,"$1,000,000 ",$0 ,$0 ,"$1,000,000 ","$1,874,161 ","$1,190,630 ","$3,064,791 ","$185,240 ","$12,932 ","$198,172 ","$54,886 ","$10,000 ","$263,058 ","$1,022,783 ","$4,350,632 ","$110,637 ",24,9,12.7,8.96,21.66,47,"4,216.00","27,747","2,754","79,533","3,323","4,912",No,0,Yes,0,663,"88,431",31,"977,204","225,495","55,349",43,22,65,"6,150","134,970",Annual Count,-1,Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"428,060","129,717","11,178","152,499","158,105",-1,-1,661,"206,117","9,624","39,085","48,709","634,177","254,826","682,886",Yes,179,"8,811",49,"2,878",34,34,0,"1,524","1,524",0,15,11,4,"1,354","1,308",46,18,10,8,376,344,32,103,5,98,"4,875",75,"4,800",9,9,0,682,682,0,26,"2,305",45,803,No,"7,074",Annual Count,"135,919","52,891",Annual Count,14,Sierra (Innovative),7,837,"Take-home crafts, Chalk The Walk, process art stations",CA0122,21-22
SANTA ANA PUBLIC LIBRARY,Orange,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,26 CIVIC CENTER PLAZA,SANTA ANA,92701,4010,(714) 647-5265,(714) 647-5250,https://www.santa-ana.org/library,27,Yes,Yes,Yes,Yes,Yes,No,No,No,"308,459","190,608","99,394",1,1,1,3,0,"55,704","$6,589,340 ",$0 ,"$500,000 ","$2,654 ","$7,091,994 ","$2,025,000 ",$0 ,"$8,500,000 ",$0 ,"$10,525,000 ","$2,986,072 ","$769,698 ","$3,755,770 ","$223,524 ","$8,217 ","$231,741 ","$172,389 ","$150,342 ","$554,472 ","$2,250,560 ","$6,560,802 ","$937,098 ",93,18,18,36,54,57,"1,314.00","74,369","9,627","113,186","5,665","9,056",Yes,531,Yes,351,332,"128,239",61,"198,375","1,336","2,197",0,22,22,"4,689","92,970",Annual Estimate Based on Typical Week(s),"13,078",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"165,931","113,687","24,715",154,35,507,"2,042",777,"1,891","23,872","2,448","26,320","167,822","28,211","194,142",Yes,445,"8,586",136,"2,245",52,52,0,"1,049","1,049",0,84,84,0,"1,196","1,196",0,182,182,0,"1,016","1,016",0,93,92,1,"1,206","1,156",50,34,30,4,"4,119","3,459",660,53,"6,064",12,"1,461",Yes,"10,241",Annual Count,"128,440",-1,,101,Library Solution (TLC),12,"1,461","SRP: Chalk it Up! Kits Take & Make: Summer is Here! SRP: Let's Make Art! Kits iSpy - Youth Participants Take it & Make It: Paws , Claws, Wings and Things Take It & Make It: Fall into Autumn Take It & Make It: Pumpkins, Monsters, Candy Corn & Halloween Take It & Make It: Craftsgiving Kits Cover to Cover Fall Reading Plaza Navidea: Piata Kits Take It & Make It: Tis the Season! Holiday Craft kits Take it & Make It : Let it snow X-STREAM Lab CCL Kits taken home Take it & Make It: Let's Celebrate February Play & Learn Ribbon Cutting Early Learning Kits for Toddlers - Preschool Play & Learn Patio Kits School Age & X-STREAM lab kits Take & Make and X-STREAM Lab kits that were given out Take It & Make It X-STREAM Lab Build &Play kits ",CA0123,21-22
SANTA BARBARA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), overlap",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,40 E. ANAPAMU ST.,SANTA BARBARA,93101,2722,(805) 564-5608,(805) 962-7653,http://sbplibrary.org,"1,164.00",No,Yes,Yes,Yes,Yes,No,Yes,No,"116,867","72,026","10,579",1,3,1,5,0,"60,560","$5,624,275 ","$529,852 ","$806,269 ","$316,009 ","$7,276,405 ","$8,293,194 ","$112,500 ",$0 ,"$3,135,348 ","$11,541,042 ","$2,935,966 ","$1,517,704 ","$4,453,670 ","$520,688 ","$13,274 ","$533,962 ","$376,817 ","$63,317 ","$974,096 ","$990,896 ","$6,418,662 ","$105,940 ",72,16.8,17.8,31.98,49.78,152,"8,081.74","54,568","4,058","128,122","3,333","18,450",Yes,61,Yes,57,245,"150,150",100,"223,030","45,948","30,832",7,18,25,"5,742","234,927",Annual Count,-1,Annual Estimate Based on Typical Week(s),No,,,,"574,148","301,302","18,510","27,600","33,169",261,633,"1,031","312,286","33,864","20,368","54,232","886,434","366,518","940,666",Yes,"1,140","23,539",690,"16,342",453,449,4,"10,711","10,687",24,237,229,8,"5,631","5,277",354,114,90,24,"2,782","2,349",433,331,84,247,"4,181","1,129","3,052",5,5,0,234,234,0,401,"12,098",28,"3,001",Yes,"18,906",Annual Count,"1,026,660","226,962",Annual Count,55,Other (please list),22,"2,685","Maker challenges, preschool early literacy activity packets, Lego activities, spin paint art and making grass heads.",CA0124,21-22
SANTA CLARA CITY LIBRARY,Santa Clara,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2635 HOMESTEAD ROAD,SANTA CLARA,95051,5322,(408) 615-2930,(408) 615-2900,http://sclibrary.org,19,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"130,127","59,794","10,300",1,2,1,4,0,"105,122","$10,895,605 ","$103,161 ",$0 ,"$25,991 ","$11,024,757 ","$207,936 ",$0 ,$0 ,$0 ,"$207,936 ","$4,399,865 ","$2,524,510 ","$6,924,375 ","$611,821 ","$29,733 ","$641,554 ","$483,320 ","$32,482 ","$1,157,356 ","$1,809,731 ","$9,891,462 ","$152,233 ",62,17,17,32.75,49.75,150,"5,275.43","189,586","17,285","453,506","19,594","28,307",Yes,49,Yes,79,"1,234","502,641",150,"879,044","511,766","24,695",50,18,68,"2,864","248,926",Annual Count,"57,678",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"1,268,965","929,136","21,157","11,439","4,702",516,220,"84,907","529,429","29,081","557,739","586,820","1,798,394","1,116,249","2,385,214",No,793,"29,330",169,"11,457",100,33,67,"7,848","3,772","4,076",69,10,59,"3,609",223,"3,386",36,11,25,"2,655",93,"2,562",217,0,217,"4,944",0,"4,944",371,353,18,"10,274","8,287","1,987",4,"2,140",98,"11,087",No,"17,013",Annual Count,"984,272","67,275",Annual Count,21,Sierra (Innovative),111,"34,292","Crafts, coloring sheets, activity sheets and scavenger hunts. These activities are available to all patrons during open hours at the Youth Services desk. Seed Share: Search, grab, and share seeds to promote local home gardening. Daily Puzzles: Take a moment and work together as a community to finish our daily puzzles. Paint Take and Make: Mini canvas painting kit for community to practice and share their art. Pride Take and Make: Acknowledge and celebrate our LGBTQ history by learning more about the origins of the PRIDE flag and colors with this take & make craft.",CA0125,21-22
SANTA CLARA COUNTY LIBRARY,Santa Clara,Joint Powers Authority,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,Multi-jurisdictional,Pacific Library Partnership,1370 DELL AVENUE,CAMPBELL,95008,1817,(408) 293-2326,(408) 293-2326,http://www.sccl.org,"1,046.00",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"447,541","551,623","142,270",0,8,2,10,0,"306,844","$70,957,166 ","$176,184 ","$38,580 ","$1,427,517 ","$72,599,447 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$22,730,906 ","$13,600,783 ","$36,331,689 ","$4,744,607 ","$243,917 ","$4,988,524 ","$2,506,065 ","$1,223,075 ","$8,717,664 ","$10,817,685 ","$55,867,038 ",$0 ,455,98.23,101.23,230.03,331.26,408,"9,758.00","757,950","67,650","1,498,291","130,954","268,144",No,0,No,0,0,"1,897,389","1,915","295,592","132,179","30,283",89,18,107,"22,358","1,497,011",Annual Count,"220,173",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"7,843,446","5,014,037","551,964",861,286,0,0,0,"2,666,900","32,720","3,800,158","3,832,878","10,510,346","6,499,778","14,343,224",Yes,"1,701","93,078",843,"61,710",358,13,345,"26,997","1,647","25,350",485,83,402,"34,713","5,075","29,638",139,20,119,"4,991",902,"4,089",719,41,678,"26,377","5,574","20,803",0,0,0,0,0,0,157,"13,198",118,"13,393",No,"112,478",Annual Count,"2,377,223","746,513",Annual Count,319,Horizon (SirsiDynix),0,0,,CA0126,21-22
SANTA CLARITA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,23743 VALENCIA BLVD.,SANTA CLARITA,91355,2105,(661) 799-6132,(661) 259-0750,http://www.santaclaritalibrary.com,58,No,Yes,No,Yes,Yes,No,No,No,"228,835","54,950","20,070",0,3,0,3,0,"71,066","$8,817,029 ","$4,546 ",$0 ,"$408,066 ","$9,229,641 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,877,582 ","$1,037,700 ","$3,915,282 ","$443,156 ","$11,056 ","$454,212 ","$581,023 ","$51,534 ","$1,086,769 ","$2,211,456 ","$7,213,507 ","$215,131 ",87,22,22,39,61,265,"4,778.00","114,853","15,532","238,846","7,530","17,320",Yes,30,Yes,30,88,"263,784",,"39,675","13,061","1,493",33,14,47,"9,828","331,946",Annual Count,"67,444",Annual Estimate Based on Typical Week(s),Yes,$0.30 ,$0.15 ,$0.15 ,"818,211","560,148","16,415",0,5,306,0,735,"185,621",731,"71,055","71,786","1,003,832","257,407","1,075,618",Yes,"1,192","24,691",607,"18,095",382,382,0,"12,142","12,142",0,225,225,0,"5,953","5,953",0,207,207,0,"1,332","1,332",0,360,350,10,"2,704","2,592",112,18,18,0,"2,560","2,560",0,189,"7,183",7,"1,422",Yes,"46,788",Annual Count,"358,199","39,137",Annual Count,169,Polaris (Innovative),85,"3,835","Craft kits, coloring pages, interactive displays w/puzzles/games, laundromat outreach, Bound to Be Good Subscription Boxes, Study Cafes, etc.",CA0210,21-22
SANTA CRUZ PUBLIC LIBRARIES,Santa Cruz,County Library with Dedicated Tax,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,City/County,Pacific Library Partnership,117 UNION STREET,SANTA CRUZ,95060,3873,(831) 427-7706,(831) 427-7707,http://www.santacruzpl.org/,436,No,No,Yes,Yes,Yes,No,No,No,"215,895","169,355","17,987",0,7,1,8,0,"95,537","$16,616,642 ","$26,192 ","$110,791 ","$498,071 ","$17,251,696 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$6,964,093 ","$3,195,091 ","$10,159,184 ","$372,401 ","$45,006 ","$417,407 ","$425,654 ","$72,501 ","$915,562 ","$3,062,335 ","$14,137,081 ","$153,647 ",96,24,24,72,96,0,0,"115,796","11,207","306,106","28,763","20,690",Yes,53,Yes,95,64,"355,623",0,"34,328","60,591","59,527",30,14,44,"10,822","274,906",Annual Count,-1,Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"1,167,535","606,872","32,315",48,"1,290",414,368,252,"447,382","16,265","146,646","162,911","1,614,917","610,293","1,777,828",No,"1,639","20,009",443,"9,763",123,114,9,"2,350","2,350",0,320,318,2,"7,413","7,363",50,246,177,69,"1,507","1,214",293,887,764,123,"6,331","4,152","2,179",63,63,0,"2,408","2,408",0,363,"5,637",27,207,No,"40,079",Annual Count,"519,447","503,605",Annual Count,218,Polaris (Innovative),4,613,"STEAM KITS: Kaleidoscopes, Automatas, Paper Torches, Balloon Powered Cars",CA0127,21-22
SANTA FE SPRINGS CITY LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11700 E. TELEGRAPH RD.,SANTA FE SPRINGS,90670,3600,(562) 868-7738,(562) 868-7738,http://www.sfslibrary.org,9,Yes,Yes,Yes,Yes,No,No,No,No,"18,763","46,469","13,437",1,1,0,2,0,"16,300","$1,587,351 ",$484 ,"$72,986 ","$22,838 ","$1,683,659 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$652,685 ","$726,794 ","$1,379,479 ","$63,678 ","$8,242 ","$71,920 ","$68,227 ",$0 ,"$140,147 ","$164,200 ","$1,683,826 ",$0 ,25,5,5,10.63,15.63,21,"1,062.00","16,694","2,135","38,923","2,921","7,860",Yes,15,Yes,15,0,"49,704",80,"903,854","284,778","75,933",4,16,20,"2,773","14,143",Annual Count,"4,331",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"120,764","59,122","4,823",88,14,86,-1,-1,-1,614,"934,511","935,125",,"935,125","1,055,889",Yes,167,"2,673",72,"1,804",51,51,0,"1,023","1,023",0,21,21,0,781,781,0,8,8,0,60,60,0,84,0,84,654,0,654,3,3,0,155,155,0,10,164,32,"1,305",Yes,"5,624",Annual Count,"8,536",-1,Annual Count,31,Symphony (SirsiDynix),0,0,,CA0128,21-22
SANTA MARIA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), overlap",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,421 S. MCCLELLAND ST.,SANTA MARIA,93454,5116,(805) 925-0994,(805) 925-0994,http://www.cityofsantamaria.org/library,"1,260.00",No,Yes,Yes,Yes,Yes,No,Yes,Yes,"156,909","46,958","14,039",1,4,1,6,0,"69,292","$3,526,851 ","$159,435 ","$19,961 ","$226,391 ","$3,932,638 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,789,871 ","$825,037 ","$2,614,908 ","$103,032 ","$9,413 ","$112,445 ","$44,444 ","$17,873 ","$174,762 ","$1,206,036 ","$3,995,706 ","$7,875 ",60,6,9,33.5,42.5,16,"1,626.00","57,044","9,384","157,735","14,622","20,835",Yes,72,Yes,89,192,"193,384",144,"205,621","18,995","2,827",5,19,24,"7,496","140,558",Annual Count,"11,359",Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,"298,176","130,565","12,026","42,802","20,165",627,"1,468",108,"69,244","4,158","11,353","15,511","367,420","84,755","382,931",Yes,435,"9,033",299,"3,286",138,121,17,"2,635","2,448",187,161,160,1,651,531,120,19,15,4,633,522,111,76,76,0,889,889,0,41,40,1,"4,225","4,213",12,113,"5,081",3,156,Yes,"18,397",Annual Count,"80,480","572,103",Annual Count,146,Koha (Equinox),189,"4,216",Youth/Teen Activity Program Packs,CA0129,21-22
SANTA MONICA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,601 SANTA MONICA BLVD,SANTA MONICA,90401,2501,(310) 458-8600,(310) 458-8600,https://www.smpl.org,8,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"92,408","74,441","4,369",1,3,0,4,0,"136,376","$9,026,924 ","$74,956 ","$54,378 ","$44,145 ","$9,200,403 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,602,116 ","$2,312,096 ","$6,914,212 ","$411,679 ","$4,175 ","$415,854 ","$359,891 ","$52,170 ","$827,915 ","$931,422 ","$8,673,549 ","$3,250 ",81,23.5,23.5,34.75,58.25,40,"2,428.00","93,497","12,238","308,372","14,175","25,464",No,0,No,0,0,"348,011",428,"686,734","476,499","24,250",12,15,27,"3,122","122,607",Annual Count,"30,333",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"569,634","207,517","24,796",0,9,0,0,0,"152,215","73,464","56,201","129,665","721,849","281,880","851,514",Yes,188,"8,906",62,"2,370",12,12,0,328,328,0,50,40,10,"2,042","1,727",315,10,5,5,217,192,25,52,6,46,633,33,600,64,37,27,"5,686","3,963","1,723",30,"1,830",5,"7,240",No,"13,592",Annual Count,"517,536",-1,,49,Symphony (SirsiDynix),10,"1,155",Take-home kits for youth,CA0130,21-22
SAUSALITO PUBLIC LIBRARY,Marin,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,420 LITHO ST.,SAUSALITO,94965,1933,(415) 289-4121,(415) 289-4120,http://www.sausalitolibrary.org,2,No,Yes,Yes,Yes,Yes,No,No,No,"7,072","5,342",312,1,0,0,1,0,"6,250","$860,516 ","$7,856 ",$0 ,"$36,414 ","$904,786 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$421,374 ","$222,573 ","$643,947 ","$51,243 ","$6,326 ","$57,569 ","$40,454 ","$4,293 ","$102,316 ","$71,910 ","$818,173 ",$0 ,6,4,4,2,6,3,150,"8,229","1,136","35,904","1,380","3,625",No,0,No,0,5,"40,914",101,"872,675","334,230","51,078",16,22,38,"2,550","44,572",Annual Count,"9,398",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"72,179","17,009","1,136","17,665","10,130",0,0,10,"34,116","1,697",-1,"1,697","106,295","35,813","107,992",No,92,"3,041",64,"2,690",44,44,0,"2,305","2,305",0,20,20,0,385,385,0,3,3,0,10,10,0,25,2,23,341,90,251,0,0,0,0,0,0,-1,-1,0,0,No,"3,095",Annual Count,"30,641",-1,Annual Count,8,Sierra (Innovative),12,-1,"""take and make"" craft kits for all ages.",CA0132,21-22
SHAFTER LIBRARY,Kern,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,"236 JAMES STREET, SUITE 2",SHAFTER,93263,2031,(661) 746-5055,(661) 746-5055,www.shafterlearning.com,,No,,,,,,,,"20,486","1,006",494,1,0,0,1,0,"5,200","$745,448 ","$3,800 ",$0 ,"$12,000 ","$761,248 ","$45,418 ",$0 ,"$38,261 ",$0 ,"$83,679 ","$404,318 ","$122,696 ","$527,014 ","$29,352 ",$0 ,"$29,352 ",$0 ,$0 ,"$29,352 ","$204,882 ","$761,248 ","$83,679 ",22,0.2,0.2,8,8.2,0,0,"5,867",894,"8,835",0,0,No,0,No,0,37,"8,872",0,"13,139",0,0,0,4,4,"2,750","21,262",Annual Estimate Based on Typical Week(s),-1,,No,,,,"5,560","4,140",403,0,0,0,0,22,-1,41,0,41,,41,"5,601",,872,"8,614",842,"6,049",36,36,0,166,166,0,806,803,3,"5,883","5,169",714,0,0,0,0,0,0,4,4,0,91,91,0,26,26,0,"2,474","2,474",0,0,0,0,0,No,250,Annual Estimate Based on Typical Week(s),"13,800",-1,,10,Polaris (Innovative),0,0,,CA0272,21-22
SHASTA PUBLIC LIBRARIES,Shasta,Municipal Library,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1100 PARKVIEW,REDDING,96001,3231,(530) 245-7260,(530) 245-7252,http://www.shastalibraries.org,"3,850.00",No,No,No,No,No,No,No,No,"180,531","53,103","16,158",1,2,0,3,0,"66,100","$2,452,650 ","$83,997 ",$0 ,"$47,486 ","$2,584,133 ",$0 ,$0 ,$0 ,"$25,011 ","$25,011 ",$0 ,$0 ,$0 ,"$163,519 ","$4,357 ","$167,876 ","$84,724 ","$20,864 ","$273,464 ","$2,485,718 ","$2,759,182 ","$11,946 ",31,5.8,5.8,19.27,25.07,317,"10,542.00","49,357","6,139","160,364","10,115","8,700",Yes,0,Yes,2,223,"179,402",61,"236,596","19,371",290,12,15,27,"6,551","397,823",Annual Count,"80,834",Annual Count,Yes,$0.25 ,$0.00 ,$0.00 ,"377,776","225,211","1,238",0,0,0,23,474,"92,289","1,774","62,094","63,868","470,065","156,157","533,933",Yes,520,"9,295",251,"7,220",203,203,0,"5,210","5,210",0,48,48,0,"2,010","2,010",0,51,51,0,447,447,0,212,179,33,"1,336","1,114",222,6,6,0,292,292,0,0,0,11,"22,886",Yes,"40,252",Annual Count,"129,687","147,519",Annual Count,96,Polaris (Innovative),118,"4,007","Take home craft kit bags were handed out throughout the year and incorporated STEAM education teaching Science, Technology, engineering, art, and math through hands-on instruction and real-world application.",CA0133,21-22
