Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,# of Electronic Collections through State Funding in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
SANTA CLARA COUNTY LIBRARY,Santa Clara,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,Pacific Library Partnership,1370 DELL AVENUE,CAMPBELL,95008,1817,4082932326,(408) 293-2326,http://www.sccl.org,5,Yes,,"1,046.00","440,440","27,467","64,052","91,519","348,921","355,720","61,920",0,8,2,0,10,10,"3,337,726","23,946",28.66,401,9.5,90.57,195.48,177.48,8.5,86.57,286.05,"$50,714,808 ","$47,028,322 ","$81,383 ","$35,304 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,569,799 ","$53,523 ","$46,219,883 ","$6,614,473 ","$2,922,343 ","$225,721 ","$1,689,776 ","$1,776,633 ","$3,148,064 ","$18,513,662 ","$11,743,905 ","$30,257,567 ",$0 ,"$9,347,843 ","$2,000 ","$2,022,351 ","$439,699 ","927,211","65,919",661,"27,481","149,494","75,256","273,361","2,594","25,897","102,220",86,0,"1,699,985","20,508",708,86,"161,267","258,977","102,220","706,855","1,700,646","2,228,401","8,584,146","4,848,151","613,497","675,691","1,575,652","2,251,343","9,259,837","10,835,489",898,471,"351,835","5,975","2,998",877,"19,805","165,972","233,851","1,773","109,082","1,225","56,890","2,100","48,074","$13,830 ","$17,748 ","$11,618 ","$14,905 ","$8,938 ","$10,864 ","$7,384 ","$8,982 ","$5,476 ","$6,624 ","$5,768 ","$6,982 ","$3,883 ","$5,554 ","$10,215 ","$13,093 ","$3,266 ","$4,156 ",No,Yes,No,"419,462",259,"2,511,233",Yes,CA0126,17-18
SANTA CLARITA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,23743 VALENCIA BLVD.,SANTA CLARITA,91355,2105,6617996132,(661) 259-0750,http://www.santaclaritalibrary.com,3,Yes,,58,"216,589","12,232","39,436","51,668","164,921","107,875","28,923",0,3,0,0,3,3,"684,732","9,528",5.6,70,0,17.5,35,7.5,27.5,17.5,52.5,"$7,186,804 ","$7,082,263 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$104,541 ",$0 ,"$931,745 ","$744,541 ","$386,786 ","$11,879 ","$288,173 ","$57,703 ","$398,665 ","$130,645 ","$56,559 ","$187,204 ",$0 ,$0 ,$0 ,"$176,320 ",$0 ,"117,929","15,942",,"1,589","9,357","4,016","19,338",97,"10,131","21,668",56,0,"303,331","4,472","1,247",56,"15,546","30,542","21,668","169,460","303,331","353,847","1,012,242","563,917","12,950","138,360","12,915","151,275","1,150,602","1,163,517",0,4,"81,555","2,056","1,063",338,"4,460","36,535","47,615",777,"28,109",286,"8,426",655,"6,620","$9,500 ","$11,800 ","$7,200 ","$7,900 ","$6,799 ","$6,999 ","$5,875 ","$6,075 ","$4,750 ","$4,950 ","$5,700 ","$5,900 ","$2,900 ","$3,100 ","$3,520 ","$3,720 ","$2,768 ","$2,968 ",Yes,Yes,Yes,"130,644",169,"612,761",Yes,CA0210,17-18
SANTA CRUZ PUBLIC LIBRARIES,Santa Cruz,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,Pacific Library Partnership,117 UNION STREET,SANTA CRUZ,95060,3873,8314277706,(831) 427-7707,http://www.santacruzpl.org/,3,No,0.25,436,"223,178","8,277",,"8,277","214,901","149,221","21,965",1,9,1,0,11,11,"1,118,976","19,234",6.25,103,25,24,64.5,10.9,28.6,24,88.5,"$13,977,582 ","$13,621,043 ","$6,312 ","$1,317 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$348,910 ",$0 ,"$15,192,389 ","$958,119 ","$448,966 ","$78,246 ","$287,639 ","$143,268 ","$527,212 ","$7,459,030 ","$3,500,181 ","$10,959,211 ","$181,410 ","$3,275,059 ",$0 ,"$242,260 ",$0 ,"121,151","13,907",68,"3,486","32,808","5,942","25,608",430,"16,440","19,067",43,0,"341,264","39,911","41,868",43,"13,655","31,569","19,067","206,206","341,332","419,288","1,621,223","651,141","44,083","222,068","232,079","454,147","1,843,291","2,075,370","1,298",414,"44,629","3,547","1,005",184,"2,860","63,702","82,294",323,"49,580",682,"14,122","2,358","15,732","$11,839 ","$15,107 ","$8,810 ","$11,923 ","$6,502 ","$8,799 ","$4,341 ","$5,876 ","$4,058 ","$5,492 ","$3,864 ","$5,230 ","$3,038 ","$4,489 ","$3,325 ","$4,912 ","$2,686 ","$3,967 ",Yes,Yes,Yes,"148,358",299,"1,314,242",No,CA0127,17-18
SANTA FE SPRINGS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11700 E. TELEGRAPH RD.,SANTA FE SPRINGS,90670,3600,5628687738,(562) 868-7738,http://www.sfslibrary.org,4,Yes,,9,"18,335",959,"2,367","3,326","15,009","38,569","11,594",1,0,0,1,1,2,"143,777","4,316",4,23,1,4,11.5,8.5,2,4,15.5,"$1,780,300 ","$1,612,800 ","$59,000 ","$45,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$62,600 ","$30,971 ","$1,780,300 ","$129,800 ","$62,800 ","$8,000 ","$40,200 ","$18,800 ","$70,800 ","$752,300 ","$661,700 ","$1,414,000 ",$0 ,"$236,500 ","$2,500 ","$18,000 ","$108,500 ","24,064","2,443",0,418,"3,265","1,541","8,202",116,"3,180","5,706",41,0,"62,534","3,067","3,401",41,"1,131","3,002","5,706","36,027","62,534","79,864","192,532","81,636","7,690",865,403,"1,268","193,397","193,800",27,41,"29,673","1,279","1,049",39,523,"20,709","23,927",85,"2,923",964,"17,786",191,"2,695","$6,931 ","$8,587 ",,,"$5,577 ","$6,874 ",,,"$4,832 ","$5,986 ","$5,190 ","$6,429 ","$4,475 ","$5,538 ",,,"$2,979 ","$3,684 ",Yes,Yes,Yes,"22,427",31,"15,405",Yes,CA0128,17-18
SANTA MARIA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,421 S. MCCLELLAND ST.,SANTA MARIA,93454,5116,8059250994,(805) 925-0994,http://www.cityofsantamaria.org/library,3,Yes,,"1,260.00","155,338","12,726","23,398","36,124","119,214","34,238","7,282",1,1,0,3,2,5,"345,574","8,216",16,64,0.8,7,33.46,25.78,6.88,6,40.46,"$3,320,019 ","$3,056,893 ","$79,696 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$183,430 ","$33,850 ","$3,135,889 ","$198,670 ","$105,114 ","$11,705 ","$59,091 ","$22,760 ","$116,819 ","$1,446,025 ","$640,425 ","$2,086,450 ",$0 ,"$850,769 ",$0 ,"$45,993 ","$33,850 ","57,016","8,519","2,399","1,599","14,456","2,553","16,836",220,"8,880","95,862",12,0,"169,830","85,771","29,560",12,"3,933",,"95,862","104,295","172,229","299,615","498,917","214,330","28,119","53,262","2,514","55,776","552,179","554,693","69,628","34,611","41,399",608,475,50,357,"15,437","17,594",195,"5,486",280,"9,951",83,"1,800","$11,015 ","$13,388 ","$8,245 ","$10,022 ","$7,483 ","$9,096 ",,,"$4,197 ","$5,102 ","$4,637 ","$5,637 ","$3,896 ","$4,735 ",,,"$1,657 ","$2,013 ",Yes,Yes,Yes,"60,330",68,"61,780",Yes,CA0129,17-18
SANTA MONICA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,601 SANTA MONICA BLVD,SANTA MONICA,90401,2501,3104588600,(310) 434-2608,http://www.smpl.org,2,Yes,,8,"92,416","4,344","6,783","11,127","81,289","75,689","4,438",1,4,0,0,5,5,"1,221,015","13,044",5.33,217,2.61,41.02,71.48,63.87,5,41.02,112.5,"$12,931,700 ","$12,475,305 ","$66,595 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$389,800 ","$38,000 ","$12,789,115 ","$1,125,036 ","$526,189 ","$89,776 ","$341,574 ","$167,497 ","$615,965 ","$7,330,621 ","$2,753,873 ","$10,084,494 ",$0 ,"$1,579,585 ","$2,776 ","$179,687 ","$47,954 ","115,263","17,160",,"4,365","22,566","7,700","38,066",668,"12,786","277,145",29,0,"362,976","327,523","13,194",29,"8,376","26,920","277,145","230,553","362,976","701,450","1,267,840","408,474","58,643","124,504","95,694","220,198","1,392,344","1,488,038","2,243",140,"116,541","2,265","1,260",139,"2,478","45,120","72,283",815,"27,639",445,"17,481",866,"24,685","$13,109 ","$16,184 ","$10,648 ","$13,146 ","$9,804 ","$12,104 ","$7,237 ","$8,934 ","$5,533 ","$6,831 ","$6,296 ","$7,773 ","$4,905 ","$6,055 ","$7,658 ","$9,454 ","$4,301 ","$5,310 ",No,No,No,"175,485",160,"979,716",Yes,CA0130,17-18
SAUSALITO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,420 LITHO ST.,SAUSALITO,94965,1933,4152894121,(415) 289-4120,http://www.sausalitolibrary.org,5,Yes,,2,"7,226",,,,"7,226","4,682",278,1,0,0,0,1,1,"121,903","3,144",0.5,32,0,4,5,2,3,4,9,"$932,125 ","$913,023 ","$4,605 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$14,497 ",$0 ,"$927,097 ","$114,238 ","$76,784 ","$10,627 ","$17,360 ","$9,467 ","$87,411 ","$533,473 ","$165,079 ","$698,552 ",$0 ,"$114,307 ",$775 ,"$14,895 ",$0 ,"9,243","1,773",0,239,"2,552",539,"3,675",124,"2,865","336,100",25,0,"43,447","359,364","65,435",25,666,"3,002","336,100","32,431","43,447","385,923","121,723","26,402",330,"11,630",,"11,630","133,353","133,353","29,862","15,538","4,969",305,186,8,19,"7,902","10,580",141,"6,425",45,"1,477",111,"2,659","$11,271 ","$11,271 ","$5,293 ","$7,093 ",,,,,"$4,702 ","$6,301 ",,,"$3,700 ","$4,497 ","$4,357 ","$5,298 ",,,No,Yes,No,"14,089",8,"34,656",No,CA0132,17-18
SHASTA PUBLIC LIBRARIES,Shasta,Municipal Library,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1100 PARKVIEW,REDDING,96001,3231,5302457260,(530) 245-7252,http://www.shastalibraries.org,0,Yes,,"3,850.00","178,271","10,029","20,824","30,853","147,418","88,429","34,970",1,2,0,0,3,3,"1,796,564","6,656",7.44,32,8,5,21,13,0,5,26,"$2,323,847 ","$2,157,973 ","$57,540 ",$0 ,"$357,000 ",$0 ,$0 ,$0 ,"$357,000 ","$108,334 ","$31,500 ","$2,868,539 ","$261,015 ","$155,184 ","$8,386 ","$74,841 ","$22,604 ","$163,570 ",$0 ,$0 ,$0 ,"$223,932 ","$2,607,524 ","$1,480 ","$77,253 ","$93,298 ","43,110","8,409","19,149","1,992","11,587","2,106","9,158",175,"7,338","9,676",16,0,"155,259","1,214",47,16,"3,973","19,969","9,676","103,740","174,408","205,020","450,846","189,435","2,015","33,920","99,489","133,409","484,766","584,255",0,0,"138,011",850,477,57,"1,142","21,473","25,268",349,"9,972",128,"11,501",316,"2,653","$5,833 ","$5,950 ","$4,853 ","$4,950 ","$4,246 ","$4,333 ",$0 ,$0 ,"$3,120 ","$3,553 ","$4,203 ","$4,330 ",$0 ,$0 ,"$5,373 ","$5,535 ",$0 ,$0 ,Yes,Yes,Yes,"79,610",96,"213,926",Yes,CA0133,17-18
SIERRA MADRE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,440 W. SIERRA MADRE BLVD.,SIERRA MADRE,91024,2399,6263557186,(626) 355-7186,www.cityofsierramadre.com/services/library,6,Yes,,3,"10,986",520,,520,"10,466","11,098","2,214",1,0,0,0,1,1,"84,767","2,310",2.65,16,0,4.92,4.3,1.39,2.91,3.92,9.22,"$702,404 ","$633,196 ","$14,836 ",$0 ,$0 ,"$42,500 ",$0 ,"$19,146 ","$61,646 ","$54,372 ",$0 ,"$702,406 ","$85,811 ","$47,604 ","$7,241 ","$18,471 ","$12,495 ","$54,845 ","$411,279 ","$101,637 ","$512,916 ","$61,646 ","$103,679 ",$0 ,"$22,003 ",$0 ,"15,362","1,541",401,528,"2,682",721,"3,203",82,"3,042","18,929",8,0,"39,164","7,483",296,8,"1,619","3,366","18,929","22,261","39,565","64,469","109,597","66,497",775,"4,835","1,858","6,693","114,432","116,290",11,25,"5,066",517,354,62,617,"11,317","13,184",140,"4,180",214,"7,137",101,"1,250","$5,330 ","$6,656 ",,,,,"$4,556 ","$5,689 ","$4,268 ","$5,188 ",,,"$2,836 ","$3,447 ",,,,,Yes,Yes,No,"7,270",8,,No,CA0134,17-18
SIGNAL HILL PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1780 EAST HILL ST.,SIGNAL HILL,90755,3632,5629897323,(562) 989-7323,http://www.cityofsignalhill.org/library,6,No,0.15,2,"11,749",930,"2,789","3,719","8,030",549,"1,751",1,0,0,0,1,1,"21,912","2,046",2,12,0,1,3.5,2.5,1,0,4.5,"$471,230 ","$471,230 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$471,230 ","$39,100 ","$30,900 ","$2,000 ",$0 ,"$6,200 ","$32,900 ","$265,790 ","$88,070 ","$353,860 ",$0 ,"$78,270 ",$0 ,"$9,000 ",$0 ,"5,319","1,144",0,27,602,227,"1,924",40,,"2,301",0,0,"17,712",475,0,0,597,"2,058","2,301","11,249","17,712","22,579","30,218","13,075","1,056",643,,643,"30,861","30,861",86,228,821,156,113,18,102,"3,865","4,533",88,"3,001",25,864,25,566,,,,,,,"$5,088 ","$6,493 ",,,,,,,,,,,No,No,Yes,"6,259",6,"5,041",No,CA0166,17-18
SIMI VALLEY PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,2969 TAPO CANYON RD,SIMI VALLEY,93063,2117,8055261735,(805) 526-1735,www.simivalleylibrary.org,3,Yes,,41,"128,760","9,013","15,708","24,721","104,039","45,159","7,828",1,0,0,0,1,1,"160,077","2,860",7.5,20,2.5,4,13,8,2.5,4,17,"$2,389,380 ","$2,354,382 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$34,998 ",$0 ,"$2,193,398 ","$230,305 ","$89,073 ","$5,524 ","$112,074 ","$23,634 ","$94,597 ","$573,726 ","$206,765 ","$780,491 ",$0 ,"$1,182,602 ",$0 ,"$44,456 ","$12,280 ","60,296","11,807",800,652,"4,005","2,145","8,809",77,"6,289","2,954",21,0,"131,047",475,0,21,"3,303","7,780","2,954","58,944","131,847","147,713","284,304","155,699","2,840","8,785","7,160","15,945","293,089","300,249","39,619","43,603","14,784",683,557,53,605,"16,969","19,184",240,"8,222",317,"8,747",73,"1,610","$6,500 ","$6,700 ",,,,,,,,,,,"$3,333 ","$3,333 ",,,"$2,666 ","$2,666 ",No,No,Yes,"24,744",28,"105,787",No,CA0211,17-18
SISKIYOU COUNTY FREE LIBRARY,Siskiyou,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,719 FOURTH ST.,YREKA,96097,3302,5308428807,(530) 842-8807,http://www.siskiyoulibrary.info,3,Yes,,"6,267.00","44,612","2,280","4,978","7,258","37,354","10,379","2,513",1,1,0,10,2,12,,"14,216",4.1,4,0,2,2,2,0,2,4,"$717,376 ","$456,343 ","$27,299 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$233,734 ","$18,000 ","$717,376 ","$67,029 ","$32,878 ",$0 ,"$21,226 ","$12,925 ","$32,878 ","$183,599 ","$151,147 ","$334,746 ",$0 ,"$315,601 ",$0 ,"$18,040 ","$18,000 ","25,038","2,974",148,304,"4,831","1,042","12,624",315,"5,370","15,129",6,0,"87,642","5,957",0,6,"1,804","5,370","15,129","59,630","87,790","120,695","179,668","43,377",231,"5,011",,"5,011","184,679","184,679",232,515,,,,,,,,,,,,,,"$5,093 ","$6,505 ",,,,,,,"$2,982 ","$3,716 ","$3,256 ","$4,057 ","$2,536 ","$3,162 ",,,,,Yes,Yes,Yes,"34,526",57,,No,CA0135,17-18
SOLANO COUNTY LIBRARY,Solano,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1150 KENTUCKY ST.,FAIRFIELD,94533,9988,7077841500,N/A,http://solanolibrary.com/,4,Yes,,631,"383,080","22,572","47,917","70,489","312,591","112,353","10,133",0,8,0,0,8,8,"1,290,796","22,736",16.74,231,8.75,37.5,74.25,46,19.5,37.5,111.75,"$20,536,424 ","$19,980,760 ","$102,225 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$453,439 ","$72,920 ","$18,288,285 ","$1,024,773 ","$442,708 ","$39,380 ","$242,105 ","$300,580 ","$482,088 ","$8,071,807 ","$4,298,506 ","$12,370,313 ",$0 ,"$4,893,199 ",$0 ,"$180,421 ","$741,515 ","188,696","30,200",0,"6,552","48,262","17,554","86,996",785,"10,862","20,609",23,0,"417,958","20,357","3,607",23,"16,048","35,030","20,609","199,062","417,958","574,633","1,410,282","582,449","24,488","105,388","122,260","227,648","1,515,670","1,637,930","78,131","65,148","158,210","3,817","2,272",428,"8,389","90,596","122,487","1,368","41,389",904,"49,207","1,117","23,502","$11,661 ","$14,174 ","$9,718 ","$11,812 ","$7,057 ","$8,577 ","$6,376 ","$7,750 ","$4,395 ","$5,342 ","$5,078 ","$6,172 ","$4,481 ","$5,501 ","$7,057 ","$8,578 ","$2,875 ","$3,529 ",Yes,No,No,"253,993",283,"374,181",Yes,CA0136,17-18
SONOMA COUNTY LIBRARY,Sonoma,Joint Powers Authority,County/Parish (exactly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,6135 STATE FARM DR.,ROHNERT PARK,94928,2147,7075450831,(707) 308-3020,http://sonomalibrary.org,4,Yes,,"1,608.00","503,332","26,442","58,190","84,632","418,700","266,751","55,958",1,12,0,2,13,15,"2,055,021","32,741",14.58,218,6.26,57.5,108.77,102.51,0,57.5,166.27,"$30,536,846 ","$29,298,731 ","$155,188 ","$25,239 ","$1,705,055 ",$0 ,$0 ,$0 ,"$1,705,055 ","$1,057,688 ","$45,471 ","$23,877,755 ","$3,236,795 ","$1,217,464 ","$122,919 ","$964,090 ","$932,322 ","$1,340,383 ","$10,582,912 ","$5,028,421 ","$15,611,333 ","$1,705,055 ","$5,029,627 ",$100 ,"$439,978 ","$248,089 ","260,943","32,245",836,"9,638","34,674","13,358","55,097","1,557","22,275","161,162",73,0,"703,048","78,756","18,801",73,"29,582","86,641","161,162","409,860","703,884","956,447","2,730,049","1,080,547","65,069","324,732","664,666","989,398","3,054,781","3,719,447","112,482","150,876","153,998","5,121","2,891",510,"13,747","74,936","113,139","1,158","35,068","1,733","39,868","1,720","24,456","$12,837 ","$16,031 ",$0 ,$0 ,"$8,814 ","$11,006 ","$6,718 ","$8,389 ","$4,992 ","$6,240 ","$5,243 ","$6,548 ","$4,201 ","$5,248 ","$8,814 ","$11,006 ","$2,832 ","$3,537 ",Yes,Yes,No,"225,157",276,"2,303,487",Yes,CA0137,17-18
SOUTH PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1100 OXLEY ST.,SOUTH PASADENA,91030,3198,6264037330,(626) 403-7350,www.southpasadenaca.gov/library,3,Yes,,3,"26,047","1,325","3,375","4,700","21,347","36,136","2,795",1,0,0,0,1,1,"235,456","2,679",3.49,41,0,8.5,10.75,5.5,5.25,8.5,19.25,"$1,653,873 ","$1,653,873 ",$0 ,$0 ,"$106,375 ",$0 ,$0 ,$0 ,"$106,375 ",$0 ,$0 ,"$1,678,096 ","$188,642 ","$94,562 ","$15,603 ","$39,851 ","$38,626 ","$110,165 ","$980,882 ","$295,679 ","$1,276,561 ","$106,375 ","$212,893 ",$0 ,"$31,558 ",$0 ,"42,467","5,139",0,"1,429","10,839","1,968","9,205",215,"5,141","20,570",20,0,"111,366","8,780",30,20,"2,634","6,176","20,570","63,760","111,366","152,215","306,571","161,790","5,462","11,923","21,372","33,295","318,494","339,866",176,52,"10,766",443,244,14,327,"18,207","23,922",117,"4,753",127,"13,454",185,"5,388","$7,919 ","$10,612 ","$7,075 ","$9,481 ","$5,681 ","$6,906 ",$0 ,$0 ,"$4,486 ","$5,453 ",$0 ,$0 ,"$4,066 ","$4,942 ",$0 ,$0 ,"$2,883 ","$3,505 ",Yes,Yes,No,"17,370",9,,No,CA0138,17-18
SOUTH SAN FRANCISCO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,840 W. ORANGE AVE.,SOUTH SAN FRANCISCO,94080,3125,6508293860,(650) 829-3860,http://www.ssf.net/library,5,No,0.15,10,"67,082","3,862","7,389","11,251","55,831","35,529","10,313",1,1,0,1,2,3,"403,552","6,697",6.83,100,7,13.46,26.82,12.24,7.58,13.46,40.28,"$5,736,596 ","$5,138,242 ","$147,760 ","$95,677 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$354,917 ","$64,056 ","$4,864,892 ","$372,645 ","$161,168 ","$12,595 ","$84,888 ","$113,994 ","$173,763 ","$2,727,520 ","$1,336,721 ","$4,064,241 ",$0 ,"$428,006 ",$200 ,"$77,829 ","$446,719 ","39,354","3,924","8,000","1,077","12,442","3,938","12,442",206,"7,100","72,274",22,0,"93,687","7,743",0,22,"3,945","9,425","72,274","50,409","101,687","199,073","518,669","182,974","6,995","24,188","18,387","42,575","542,857","561,244","88,836","46,152","19,773","2,336","1,503",86,968,"56,159","64,141",588,"25,447",915,"30,712",747,"7,014","$14,982 ","$18,128 ","$9,542 ","$11,596 ","$7,563 ","$9,195 ","$7,563 ","$9,195 ","$5,053 ","$6,143 ","$5,561 ","$6,760 ","$3,969 ","$5,328 ","$7,563 ","$9,195 ","$2,460 ","$2,990 ",Yes,Yes,No,"60,812",132,"191,567",Yes,CA0139,17-18
ST. HELENA PUBLIC LIBRARY,Napa,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1492 LIBRARY LANE,ST. HELENA,94574,1143,7079635244,(707) 963-5244,http://www.shpl.org/,6,Yes,,4,"6,118",302,639,941,"5,177","7,139","1,020",1,0,0,0,1,1,"99,348","2,254",0.62,13,0,3,5,0.75,4.25,2,8,"$1,119,406 ","$927,636 ","$9,945 ",$0 ,"$17,000 ","$20,000 ",$0 ,"$20,000 ","$57,000 ","$181,825 ",$0 ,"$973,205 ","$115,566 ","$44,867 ","$5,235 ","$32,127 ","$33,337 ","$50,102 ","$465,353 ","$240,644 ","$705,997 ","$57,906 ","$151,642 ",$0 ,"$14,364 ",$0 ,"25,279","1,958",33,"1,194","6,612","2,740","10,796",72,"3,127","116,380",23,0,"54,341","6,022",113,23,"1,431","3,719","116,380","27,104","54,374","188,257","142,803","53,702","5,078","5,336","200,126","205,462","148,139","348,265","36,209","19,863","9,672",726,583,0,0,"9,831","11,511",276,"4,436",307,"5,395",143,"1,680","$8,576 ","$10,425 ",,,"$4,914 ","$5,972 ",,,"$4,326 ","$5,258 ","$4,721 ","$5,739 ","$3,696 ","$4,493 ",,,"$3,561 ","$4,328 ",No,No,No,"8,853",15,"40,417",No,CA0141,17-18
