Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Total Circulation,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
SANTA CLARITA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,23743 VALENCIA BLVD.,SANTA CLARITA,91355,2105,(661) 799-6132,(661) 259-0750,http://www.santaclaritalibrary.com,3,Yes,,58,"216,350","12,764","45,433","58,197","158,153","136,847","35,721",0,3,0,0,3,3,"758,843","9,528",7.5,70,2,17.5,36.5,7,27.5,17.5,54,"$6,680,519 ","$6,415,945 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$264,574 ",,"$6,264,681 ","$753,508 ","$419,160 ","$12,757 ","$266,141 ","$55,450 ","$431,917 ","$129,893 ","$55,559 ","$185,452 ","$42,945 ","$5,325,721 ",$0 ,"$168,275 ",$0 ,"136,309","12,120",0,"2,550","16,237","6,133","27,105",189,"12,608","19,760",40,"304,033","3,802","1,190",40,"10,605","28,126","19,760","155,604","304,033","367,364","634,023","10,292","130,817","1,270,216","176,776","127,614","68,553","2,436","1,263",363,"4,875","33,270","48,293",548,"19,292",715,"13,978",810,"10,148","$7,200 ","$9,500 ","$6,500 ","$7,200 ","$5,524 ","$6,799 ","$4,914 ","$5,875 ","$3,900 ","$4,750 ","$5,166 ","$5,700 ","$2,250 ",$290 ,"$2,424 ","$3,520 ","$1,920 ","$2,768 ",Yes,Yes,Yes,"133,484",169,"196,003",Yes,CA0210,16-17
SANTA CRUZ PUBLIC LIBRARIES,Santa Cruz,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,Pacific Library Partnership,117 UNION STREET,SANTA CRUZ,95060,3873,(831) 427-7706,(831) 427-7707,http://www.santacruzpl.org/,3,No,0.25,436,"223,269","9,722",,"9,722","213,547","141,916","12,712",1,9,1,0,10,11,"1,091,702","19,234",6.25,97,25,24,64.5,10.9,28.6,24,88.5,"$14,024,414 ","$13,706,409 ","$16,205 ","$2,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$299,400 ",,"$13,745,664 ","$1,431,498 ","$590,612 ","$90,952 ","$539,250 ","$210,684 ","$681,564 ","$6,250,567 ","$2,716,141 ","$8,966,708 ","$501,978 ","$3,347,458 ",$0 ,"$681,695 ",$0 ,"116,606","12,465",69,"2,913","30,346","5,338","26,408",971,"18,981","108,598",55,"351,997","31,262","6,557",55,"11,103","31,464","108,598","222,926","352,066","518,444","689,125","61,965","135,790","1,832,326","1,433",267,"334,301","1,935","1,064",132,"2,392","36,418","38,809",300,"18,046",764,"18,372",739,-1,"$11,839 ","$15,107 ","$8,810 ","$11,923 ","$6,502 ","$8,799 ","$4,341 ","$5,876 ","$4,058 ","$5,492 ","$3,864 ","$5,230 ","$3,038 ","$4,489 ","$3,325 ","$4,912 ","$2,686 ","$3,967 ",Yes,Yes,Yes,"138,342",124,"1,326,710",No,CA0127,16-17
SANTA FE SPRINGS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11700 E. TELEGRAPH RD.,SANTA FE SPRINGS,90670,3600,(562) 868-7738,(562) 868-7738,http://www.sfslibrary.org,4,Yes,,9,"18,291","1,311","3,060","4,371","13,920","36,679","11,537",1,0,0,1,2,2,"144,450","3,900",4,23,1,4,11.5,8.5,2,4,15.5,"$1,753,600 ","$1,669,416 ","$29,484 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$54,700 ","$29,484 ","$1,753,600 ","$120,400 ","$54,400 ","$8,000 ","$43,000 ","$15,000 ","$62,400 ","$778,900 ","$694,000 ","$1,472,900 ",$0 ,"$160,300 ","$2,500 ","$20,000 ","$110,200 ","24,116","2,427",0,309,"3,343","1,631","7,842",118,"3,274","5,262",41,"61,426","3,034","3,347",41,902,"2,802","5,262","34,883","61,426","78,032","63,338","5,756","1,245","174,632",25,35,"34,817","1,078",911,37,612,"24,287","27,034",86,"2,857",825,"21,430",130,"2,135","$6,795 ","$8,419 ",,,"$5,467 ","$6,759 ",,,"$4,738 ","$5,869 ","$5,088 ","$6,303 ","$3,250 ","$4,026 ",,,"$2,921 ","$3,612 ",Yes,Yes,Yes,"21,926",31,,Yes,CA0128,16-17
SANTA MARIA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,421 S. MCCLELLAND ST.,SANTA MARIA,93454,5116,(805) 925-0994,(805) 925-0994,http://www.cityofsantamaria.org/library,3,Yes,,"1,260.00","153,283","14,598","22,967","37,565","115,718","35,454","7,454",1,1,0,3,5,5,"355,736","8,216",15,64,0.8,7,34.68,27,6.88,6,41.68,"$3,488,906 ","$3,041,930 ","$32,661 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$409,315 ","$32,661 ","$2,932,111 ","$202,280 ","$89,162 ","$11,674 ","$76,323 ","$25,121 ","$100,836 ","$1,374,430 ","$542,717 ","$1,917,147 ",$0 ,"$812,684 ",$0 ,"$31,349 ","$32,661 ","52,622","8,043","2,488","1,503","13,859","2,654","17,773",264,"10,964","104,331",11,"176,546","30,594","8,932",11,"4,088",0,"104,331","115,881","179,034","315,272","214,842","24,219","47,640","545,230","68,246","29,374","44,162",461,357,49,438,"8,583","10,088",216,"5,085",141,"3,498",55,"1,067","$11,015 ","$13,388 ","$8,245 ","$10,022 ","$7,483 ","$9,096 ",,,"$4,156 ","$5,051 ","$4,592 ","$5,581 ","$3,857 ","$4,688 ",,,"$1,609 ","$1,995 ",Yes,Yes,Yes,"61,896",76,"46,063",Yes,CA0129,16-17
SANTA MONICA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,601 SANTA MONICA BLVD,SANTA MONICA,90401,2501,(310) 458-8600,(310) 434-2608,http://www.smpl.org,2,Yes,,8,"93,834","2,354","7,485","9,839","83,995","69,969","4,371",1,4,0,0,5,5,"1,257,746","12,983",5.37,207,2,41.27,71.23,64.23,5,41.27,112.5,"$13,233,602 ","$12,756,502 ","$38,000 ","$41,500 ","$244,673 ",$0 ,$0 ,$0 ,"$244,673 ","$397,600 ","$38,000 ","$12,486,902 ","$1,133,324 ","$538,877 ","$87,563 ","$327,749 ","$179,135 ","$626,440 ","$7,127,037 ","$2,724,116 ","$9,851,153 ","$119,726 ","$1,502,425 ","$2,967 ","$171,839 ","$44,817 ","114,383","16,960",,"4,868","24,159","8,397","39,050",642,"13,753","220,957",27,"361,979","335,566","15,685",27,"7,567","38,493","220,957","230,636","361,979","646,814","425,150","62,972","121,790","1,479,414","2,109",178,"131,058","2,284","1,213",185,"2,862","44,649","74,143",804,"29,016",409,"15,633",886,"26,632","$13,109 ","$16,184 ","$10,648 ","$13,146 ","$9,804 ","$12,104 ","$7,237 ","$8,934 ","$5,533 ","$6,831 ","$6,296 ","$7,773 ","$4,832 ","$5,966 ","$7,658 ","$9,454 ","$4,238 ","$5,232 ",No,No,No,"173,702",160,"960,649",Yes,CA0130,16-17
SAUSALITO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,420 LITHO ST.,SAUSALITO,94965,1933,(415) 289-4121,(415) 289-4120,http://www.sausalitolibrary.org,5,Yes,,2,"7,327",,,0,"7,327","4,846",276,1,0,0,0,1,1,"124,442","3,144",0.5,28,0,4,5,2,3,4,9,"$930,311 ","$888,653 ","$28,830 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$12,828 ",,"$930,311 ","$99,194 ","$69,400 ","$9,022 ","$8,638 ","$12,134 ","$78,422 ","$534,912 ","$171,794 ","$706,706 ",$0 ,"$124,411 ",$750 ,"$15,281 ",$0 ,"8,991","1,223",0,249,"2,603",524,"4,031",126,"2,901","86,379",31,"45,718","7,211",176,31,738,"3,129","86,379","35,504","45,718","138,888","28,001",404,"7,429","135,801","29,627","15,645","4,691",275,186,0,0,"7,379","10,171",111,"5,132",75,"2,247",89,"2,792","$10,970 ","$10,970 ","$5,152 ","$6,904 ",,,,,"$4,577 ","$6,133 ",,,"$3,601 ","$4,377 ","$4,241 ","$5,156 ",,,No,Yes,No,"14,924",8,"31,995",No,CA0132,16-17
SHASTA PUBLIC LIBRARIES,Shasta,Municipal Library,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1100 PARKVIEW,REDDING,96001,3231,(530) 245-7260,(530) 245-7252,http://www.shastalibraries.org,0,Yes,,"3,850.00","178,605","10,516","27,804","38,320","140,285","82,234","32,536",1,2,0,0,3,3,"1,296,126","6,656",7.71,33,7,5,18,11,0,4.5,23,"$2,260,349 ","$2,109,993 ","$53,929 ","$2,430 ","$84,900 ",$0 ,$0 ,$0 ,"$84,900 ","$93,997 ","$33,889 ","$2,274,361 ","$247,558 ","$153,294 ","$8,959 ","$68,304 ","$17,001 ","$162,253 ",$0 ,$0 ,$0 ,"$95,247 ","$2,026,803 ",$600 ,"$59,987 ","$71,706 ","47,102","8,797","13,975","2,421","13,536","2,505","10,317",199,"9,775","8,380",13,"167,432",702,100,13,"3,879","19,939","8,380","111,533","181,407","213,852","231,116",693,"18,596","526,855",0,0,"135,196",836,484,78,847,"17,152","20,878",339,"10,382",145,"6,770",274,"2,879","$6,868 ","$6,868 ","$4,598 ","$4,853 ","$3,826 ","$4,246 ",$0 ,$0 ,"$3,120 ","$3,120 ","$3,927 ","$4,203 ",$0 ,$0 ,"$5,373 ","$5,535 ",$0 ,$0 ,Yes,Yes,Yes,"79,746",90,"259,668",Yes,CA0133,16-17
SIERRA MADRE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,440 W. SIERRA MADRE BLVD.,SIERRA MADRE,91024,2399,(626) 355-7186,(626) 355-7186,www.cityofsierramadre.com/departments/library,6,Yes,,3,"11,010",520,,520,"10,490","11,574","2,403",1,0,0,0,1,1,"81,279","2,310",2.55,17,0,5,3.8,1.2,2.6,3.8,8.8,"$794,640 ","$740,340 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$54,300 ",,"$777,082 ","$103,755 ","$58,699 ","$7,171 ","$22,767 ","$15,118 ","$65,870 ","$462,749 ","$138,331 ","$601,080 ",$0 ,"$72,247 ",$486 ,"$25,125 ",$0 ,"15,684","1,446",371,568,"2,817",721,"3,012",95,"3,633","9,773",8,"41,680","5,298",58,8,"1,463","3,852","9,773","24,550","42,051","57,756","55,531","1,603","3,710","97,829",38,77,"5,237",389,287,55,545,"10,994","12,697",140,"4,859",147,"6,135",47,"1,158","$8,017 ","$10,012 ",,,,,"$5,108 ","$6,379 ","$4,091 ","$4,972 ",,,"$2,718 ","$3,304 ",,,,,No,No,No,"6,871",8,,No,CA0134,16-17
SIGNAL HILL PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1780 East Hill St.,SIGNAL HILL,90755,3632,(562) 989-7323,(562) 989-7323,http://www.cityofsignalhill.org/library,6,No,0.15,2,"11,609",798,"1,658","2,456","9,153","9,591","2,740",1,0,0,0,1,1,"23,641","2,046",0.25,11,0,1,4,3,1,1,5,"$405,965 ","$405,965 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$405,965 ","$40,460 ","$30,000 ","$2,166 ",$0 ,"$8,294 ","$32,166 ","$243,420 ","$88,070 ","$331,490 ",$0 ,"$34,015 ",$0 ,"$10,500 ",$0 ,"5,588","1,161",0,52,613,325,"1,877",45,,0,0,"17,862",0,0,0,402,"1,485",0,"11,113","17,862","20,397","9,157",424,0,"28,248",108,488,795,170,121,25,191,"4,011","4,634",94,"3,259",27,752,24,432,"$5,505 ","$7,026 ",,,,,,,,,,,"$3,359 ","$4,288 ",,,,,No,No,Yes,"4,856",6,"3,416",No,CA0166,16-17
SIMI VALLEY PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,2969 TAPO CANYON RD,SIMI VALLEY,93063,2117,(805) 526-1735,(805) 526-1735,www.simivalleylibrary.org,3,Yes,,41,"127,309","8,611","15,597","24,208","103,101","37,860","6,154",1,0,0,0,1,1,"162,899","2,860",8.5,25,2.5,4,12,8,1.5,4,16,"$2,355,495 ","$2,286,500 ",$0 ,"$19,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$49,795 ",,"$2,145,889 ","$251,336 ","$102,323 ","$6,000 ","$121,116 ","$21,897 ","$108,323 ","$455,000 ",$0 ,"$455,000 ",$0 ,"$1,439,553 ",$0 ,"$53,880 ",$626 ,"56,606","11,052",0,479,"3,959","1,924","7,252",85,"5,283","2,476",21,"137,009",349,0,21,"2,254","13,072","2,476","69,351","137,009","150,802","162,526","2,187","5,462","290,551","25,913","44,877","10,180",735,601,49,776,"19,596","22,217",233,"8,987",368,"10,609",85,"1,845","$6,500 ","$6,700 ","$5,000 ","$5,000 ","$4,583 ","$4,583 ","$4,142 ","$4,142 ","$4,142 ","$4,250 ","$4,166 ","$4,166 ","$3,333 ","$3,333 ","$2,666 ","$2,666 ","$2,666 ","$2,666 ",No,No,Yes,"23,674",28,"145,636",No,CA0211,16-17
SISKIYOU COUNTY FREE LIBRARY,Siskiyou,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,719 FOURTH ST.,YREKA,96097,3302,(530) 842-8807,(530) 842-8807,http://www.siskiyoulibrary.info,3,Yes,,"6,267.00","44,688","2,283","5,048","7,331","37,357","10,363","2,514",1,1,0,10,12,12,,"14,216",4.1,4,0,2,2,2,0,2,4,"$762,484 ","$565,937 ","$18,000 ",$0 ,"$30,269 ",$0 ,$0 ,"$50,000 ","$80,269 ","$178,547 ","$18,000 ","$762,484 ","$106,249 ","$61,613 ",$0 ,"$19,068 ","$25,568 ","$61,613 ","$170,563 ","$119,931 ","$290,494 ","$80,269 ","$365,741 ",$0 ,"$24,900 ","$18,000 ","24,991","2,863",150,293,"4,373","1,048","11,104",337,"9,363","5,412",7,"87,016","2,617",0,7,"2,269","9,363","5,412","59,162","87,166","108,399","37,022",227,"3,322","175,022",215,9,,-4,-2,-1,-1,-2,-4,-1,-1,-1,-1,-1,-1,"$5,017 ","$6,409 ",,,,,,,"$2,924 ","$3,643 ","$3,192 ","$3,977 ","$2,512 ","$3,130 ",,,,,Yes,Yes,Yes,"35,048",57,,No,CA0135,16-17
SOLANO COUNTY LIBRARY,Solano,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1150 KENTUCKY ST.,FAIRFIELD,94533,9988,(707) 784-1500,N/A,http://solanolibrary.com/,4,Yes,,631,"379,992","24,646","52,951","77,597","302,395","121,125","9,724",0,8,0,0,8,8,"1,323,372","22,736",16.75,223,8.75,37.5,74.25,46,19.5,37.5,111.75,"$19,500,808 ","$18,990,224 ","$100,904 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$409,680 ","$69,944 ","$17,609,704 ","$1,021,756 ","$444,672 ","$38,909 ","$218,916 ","$319,259 ","$483,581 ","$7,939,371 ","$4,079,072 ","$12,018,443 ",$0 ,"$4,569,505 ",$0 ,"$180,927 ","$692,237 ","193,008","31,334",0,"6,878","48,517","18,593","90,130",900,"12,345","10,054",24,"433,320","7,869","2,930",24,"16,040","37,079","10,054","208,978","433,320","582,945","636,626","28,026","62,446","1,654,368","72,859","62,864","153,447","3,651","2,167",347,"9,872","87,611","121,232","1,422","43,556",745,"44,055","1,137","23,749","$11,212 ","$13,629 ","$9,344 ","$11,357 ","$6,785 ","$8,247 ","$6,130 ","$7,451 ","$4,226 ","$5,137 ","$4,882 ","$5,934 ","$4,226 ","$5,137 ","$6,785 ","$8,247 ","$2,764 ","$3,223 ",Yes,No,No,"284,851",316,"407,405",No,CA0136,16-17
SONOMA COUNTY LIBRARY,Sonoma,Joint Powers Authority,County/Parish (exactly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,211 E STREET,SANTA ROSA,95404,4400,(707) 545-0831,(707) 545-0831,http://sonomalibrary.org,4,Yes,,"1,608.00","505,120","25,657","58,356","84,013","421,107","262,570","53,758",1,11,0,3,15,15,"2,113,767","27,441",18.3,187,8.26,49.5,110.97,102.71,0,49.5,160.47,"$19,690,054 ","$18,967,726 ","$44,876 ","$27,000 ","$970,682 ",$0 ,$0 ,$0 ,"$970,682 ","$650,452 ","$44,876 ","$18,777,366 ","$1,887,557 ","$805,021 ","$105,075 ","$428,886 ","$548,575 ","$910,096 ","$9,174,091 ","$4,190,259 ","$13,364,350 ","$970,682 ","$3,525,459 ","$1,200 ","$341,553 ","$147,116 ","255,143","30,533",790,"9,795","35,466","12,203","50,065","1,504","21,737","216,488",54,"686,049","52,982","32,565",54,"22,388","61,055","216,488","400,373","686,839","990,416","1,137,737","80,830","302,035","3,172,910","121,567","156,487","186,108","3,964","2,604",425,"12,754","79,867","117,317","1,052","35,393","1,552","44,474",935,"24,696","$11,859 ","$14,810 ",$0 ,$0 ,"$8,557 ","$10,689 ","$6,523 ","$8,145 ","$4,846 ","$6,051 ","$5,091 ","$6,354 ","$4,079 ","$5,094 ","$8,557 ","$10,689 ","$2,749 ","$3,435 ",Yes,Yes,No,"210,787",277,"2,265,715",Yes,CA0137,16-17
SOUTH PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1100 OXLEY ST.,SOUTH PASADENA,91030,3198,(626) 403-7330,(626) 403-7350,www.southpasadenaca.gov/library,3,Yes,,3,"25,992","1,325","3,375","4,700","21,292","39,894","4,759",1,0,0,0,1,1,"233,259","2,679",3.49,44,1,7.4,11.7,9.7,1,7.4,19.1,"$1,706,156 ","$1,706,156 ",$0 ,$0 ,"$54,600 ",$0 ,$0 ,$0 ,"$54,600 ",$0 ,,"$1,668,120 ","$209,370 ","$134,246 ","$14,449 ","$37,795 ","$22,880 ","$148,695 ","$959,826 ","$293,184 ","$1,253,010 ",$0 ,"$205,740 ",$180 ,"$38,000 ",$0 ,"44,483","5,942",,"1,729","11,801","2,294","10,514",221,"6,350","9,965",18,"118,375","6,139",30,18,"3,029","7,404","9,965","67,950","118,375","150,894","175,171","6,266","7,923","340,266",167,48,"14,282",472,277,6,275,"19,645","25,259",127,"4,611",150,"15,034",189,"5,339","$7,919 ","$10,612 ","$7,075 ","$9,481 ","$5,331 ","$6,480 ",$0 ,$0 ,"$4,486 ","$5,453 ",$0 ,$0 ,"$3,964 ","$4,818 ",$0 ,$0 ,"$2,883 ","$3,505 ",Yes,No,No,"20,000",8,,No,CA0138,16-17
SOUTH SAN FRANCISCO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,840 W. ORANGE AVE.,SOUTH SAN FRANCISCO,94080,3125,(650) 829-3860,(650) 829-3860,http://www.ssf.net/library,5,No,0.15,10,"65,451","4,065","7,708","11,773","53,678","32,926","9,662",1,1,0,1,3,3,"423,815","6,180",4.78,105,7,13.46,26.1,13.14,5.96,13.46,39.56,"$5,323,928 ","$4,806,647 ","$138,266 ","$60,946 ","$713,817 ",$0 ,$0 ,$0 ,"$713,817 ","$318,069 ","$64,016 ","$4,964,168 ","$399,859 ","$189,318 ","$13,632 ","$59,840 ","$137,069 ","$202,950 ","$2,236,208 ","$1,388,784 ","$3,624,992 ","$713,817 ","$939,317 ",$0 ,"$75,663 ","$402,417 ","37,024","3,794","8,000",952,"12,012","3,569","24,103",209,"8,207","68,482",22,"91,015","6,283",0,22,"3,986","11,175","68,482","50,197","99,015","203,843","187,567","6,210","21,537","568,186","82,253","43,701","7,909","1,966","1,223",52,"1,769","47,680","56,617",533,"23,081",690,"24,599",691,"7,168","$14,555 ","$17,600 ","$9,265 ","$11,258 ","$7,342 ","$8,927 ","$7,342 ","$8,927 ","$4,905 ","$5,964 ","$5,399 ","$6,562 ","$3,852 ","$5,172 ","$7,342 ","$8,927 ","$2,389 ","$2,903 ",Yes,Yes,No,"59,941",129,,Yes,CA0139,16-17
ST. HELENA PUBLIC LIBRARY,Napa,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1492 LIBRARY LANE,ST. HELENA,94574,1143,(707) 963-5244,(707) 963-5244,http://www.shpl.org/,6,Yes,,4,"6,033",313,738,"1,051","4,982","7,634","1,044",1,0,0,0,1,1,"110,245","2,254",0.62,13,0,3,5,0.75,4.25,2,8,"$1,028,931 ","$808,708 ","$5,303 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$214,920 ",,"$1,028,931 ","$107,489 ","$40,620 ","$5,167 ","$26,566 ","$35,136 ","$45,787 ","$494,057 ","$263,319 ","$757,376 ",$0 ,"$164,066 ",$0 ,"$10,209 ",$0 ,"25,691","2,114",29,"1,213","6,596","2,843","10,350",86,"2,998","5,659",25,"56,544","2,867",0,25,"1,444","3,544","5,659","28,739","56,573","79,289","63,154","7,812","3,674","162,656","33,429","18,459","11,842",702,583,0,0,"10,121","12,083",278,"4,886",305,"5,235",119,"1,962","$8,576 ","$10,425 ",,,"$4,794 ","$5,827 ",,,"$4,221 ","$5,130 ","$4,606 ","$5,599 ","$3,606 ","$4,383 ",,,"$3,474 ","$4,222 ",No,No,No,"10,666",15,"38,215",No,CA0141,16-17
STANISLAUS COUNTY FREE LIBRARY,Stanislaus,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1500 I ST.,MODESTO,95354,1166,(209) 558-7801,(209) 558-7814,http://stanislauslibrary.org,3,No,N/A,"1,521.00","548,057","39,233","83,214","122,447","425,610","424,013","36,275",1,5,0,7,13,13,"2,337,754","29,016",6.2,170,11.4,19,121.8,25.8,84.6,16,140.8,"$11,560,562 ","$10,686,868 ","$235,126 ","$4,207 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$634,361 ","$235,126 ","$11,387,656 ","$789,530 ","$524,166 ","$5,732 ","$165,759 ","$93,873 ","$529,898 ","$4,945,941 ","$2,163,130 ","$7,109,071 ","$326,206 ","$3,489,055 ","$41,831 ","$189,019 ","$298,202 ","257,996","30,315",0,"4,054","15,793","11,789","32,320",373,"13,982","231,509",24,"561,335","323,681","33,810",24,"19,363","41,400","231,509","273,024","561,335","841,354","835,357","42,515","106,600","1,717,624","2,120",806,"124,826","3,202","2,662",138,"1,040","89,209","94,986","1,378","36,513","1,284","52,696",402,"4,737","$7,921 ","$11,883 ",,,"$4,949 ","$7,424 ","$4,300 ","$5,228 ","$3,872 ","$4,706 ","$4,300 ","$5,227 ","$2,605 ","$3,501 ","$4,949 ","$8,394 ","$1,846 ","$2,244 ",No,Yes,Yes,"173,798",139,"1,908,374",No,CA0140,16-17
