Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Literacy Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Reference Questions,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs,Children's Program Attendance,# of Young Adult Programs,Young Adult Program Attendance,# of Adult Programs,Adult Program Attendance,"Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,Vulnerable populations,Personal economic development,Crisis support,Personal learning and knowledge development,Social capital,FSCS ID,Fiscal Year
FULLERTON PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,353 W. COMMONWEALTH AVE.,FULLERTON,92832,1796,7147386380,(714) 738-6326,www.fullertonlibrary.org,22,"142,824","129,759","9,527",1,0,0,1,"62,553","$3,871,416 ",$0 ,$0 ,"$554,098 ","$4,425,514 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,550,892 ","$587,602 ","$2,138,494 ","$185,216 ","$7,358 ","$192,574 ","$118,343 ","$5,826 ","$316,743 ","$1,517,110 ","$3,972,347 ",$0 ,60,10,11,23,34,8,"87,580","2,549","188,375","6,215","5,251","2,216","13,760",0,15,3,18,131,"2,877","542,935","58,889","475,227","320,539","9,668","38,885","14,602","53,487","514,112","528,714",226,30,632,"17,331",42,218,224,"3,083",244,"10,314",898,"20,632",Yes,"52,578","652,153","36,788",56,Yes,Yes,No,Yes,Yes,CA0041,18-19
"GLENDALE LIBRARY, ARTS & CULTURE",Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,222 E. HARVARD ST.,GLENDALE,91205,1075,8185482030,(818) 548-2021,http://glendalepubliclibrary.org,31,"206,283","145,803","33,520",1,7,0,8,"155,862","$10,663,851 ","$91,640 ","$19,128 ","$503,836 ","$11,278,455 ","$58,140 ","$1,975,985 ",$0 ,$0 ,$0 ,"$1,975,985 ","$5,029,458 ","$2,083,694 ","$7,113,152 ","$446,589 ","$50,947 ","$497,536 ","$363,523 ","$73,953 ","$935,012 ","$2,615,687 ","$10,663,851 ","$431,974 ",152,30.9,30.9,53.43,84.33,1.31,"98,262","9,522","333,125","370,349","53,380","82,014","26,780","15,806",61,2,63,600,"15,475","993,940","66,412","1,030,856","547,042","53,445","150,520","241,102","391,622","1,181,376","1,422,478","77,733","40,175","2,567","59,003",14,980,"2,398","17,242",246,"12,102","4,979","77,225",Yes,"92,829","605,304","4,096,404",148,Yes,Yes,No,Yes,Yes,CA0042,18-19
GLENDORA LIBRARY & CULTURAL CENTER,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,140 SOUTH GLENDORA AVE.,GLENDORA,91741,3499,6268524891,(626) 852-4891,http://www.glendoralibrary.org,19,"52,122","30,058","5,314",1,0,0,1,"30,000","$2,120,950 ","$32,039 ",$0 ,"$169,773 ","$2,322,762 ","$24,546 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$978,090 ","$368,381 ","$1,346,471 ","$69,136 ","$20,213 ","$89,349 ","$64,432 ","$7,554 ","$161,335 ","$434,953 ","$1,942,759 ","$817,532 ",32,5.63,5.63,14.83,20.46,5.27,"24,021","4,447","93,993","137,848","8,906","6,427","9,254",212,26,4,30,186,"2,553","267,929","33,238","242,490","126,798",898,"26,914","121,114","148,028","269,404","390,518",320,257,671,"39,600",34,"1,053",37,"1,348",218,"11,303",742,"42,001",No,"22,006","144,123","366,207",16,Yes,Yes,Yes,Yes,Yes,CA0043,18-19
GOLETA VALLEY LIBRARY,Santa Barbara,,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,City/County,Black Gold Cooperative Library System,500 N. FAIRVIEW AVE.,GOLETA,93117,1797,(805) 964-7878,(805) 964-7878,https://www.cityofgoleta.org/city-hall/goleta-valley-library,,"95,202","10,103","1,403",1,0,0,1,"15,437","$2,201,340 ",$0 ,$0 ,"$175,340 ","$2,376,680 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$663,377 ","$203,811 ","$867,188 ","$126,280 ",$0 ,"$126,280 ","$114,012 ","$65,286 ","$305,578 ","$291,398 ","$1,464,164 ",$0 ,19,2,2,8.88,10.88,9.8,"30,253","1,954","63,911","210,700","6,472","17,390","13,725","29,087",1,2,3,76,"2,860","261,316","21,736","605,935","299,292","7,492","74,094","1,516","75,610","680,029","681,545","49,705","67,913",429,"16,171",3,118,204,"5,164",27,"2,736",636,"21,453",No,"18,587","50,891","25,793",17,Yes,Yes,Yes,Yes,Yes,CA0271,18-19
HARRISON MEMORIAL LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,OCEAN & LINCOLN AVE.,CARMEL,93921,800,8316241366,(831) 624-7323,http://ci.carmel.ca.us/library,1,"3,987","10,131",446,1,1,0,2,"15,282","$1,146,145 ","$10,677 ",$0 ,"$349,847 ","$1,506,669 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$841,234 ","$298,135 ","$1,139,369 ","$95,456 ","$8,220 ","$103,676 ","$46,243 ","$23,558 ","$173,477 ","$119,178 ","$1,432,024 ",$0 ,23,6.2,6.2,7.18,13.38,0.95,"13,145","1,539","47,753","358,207","3,713","75,904","6,080","37,966",31,3,34,109,"4,592","88,607","15,789","104,456","28,885",,"16,165","9,945","26,110","120,621","130,566",304,97,91,"3,218",1,50,28,"1,354",21,"1,220",120,"4,622",No,"7,599","37,141","15,764",16,Yes,No,No,Yes,Yes,CA0021,18-19
HAYWARD PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,835 C STREET,HAYWARD,94541,5120,5108817954,(510) 293-8685,hayward-ca.gov/public-library,56,"159,433","116,639","28,008",1,1,0,2,"33,567","$5,261,639 ","$101,600 ","$82,335 ","$82,289 ","$5,527,863 ","$101,600 ","$1,520,599 ",$0 ,$0 ,$0 ,"$1,520,599 ","$2,138,030 ","$824,426 ","$2,962,456 ","$118,876 ","$10,740 ","$129,616 ","$39,615 ","$54,099 ","$223,330 ","$1,250,192 ","$4,435,978 ","$11,515,077 ",60,9,11,24.8,35.8,5,"60,444","4,723","162,543","39,500","7,693","15,000","25,574","10,000",2,2,4,170,"3,052","165,372","4,450","146,498","68,922","7,187","13,308","1,855","15,163","159,806","161,661",863,"3,776",292,"12,000",80,"1,128",298,"5,426",27,"1,516",670,"18,554",No,"14,834",,,55,Yes,Yes,No,Yes,Yes,CA0044,18-19
HEMET PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 E. LATHAM AVE,HEMET,92543,4222,9517652440,(951) 765-2440,http://www.cityofhemet.org/library/,27.56,"84,754","153,527","38,528",1,0,0,1,"34,602","$1,572,200 ","$18,600 ",$0 ,"$31,500 ","$1,622,300 ","$18,360 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$419,210 ","$358,803 ","$778,013 ","$100,257 ","$9,240 ","$109,497 ","$25,000 ","$5,000 ","$139,497 ","$587,600 ","$1,505,110 ",$0 ,11,1,1,8,9,2.6,"26,332","6,360","75,966","15,267","2,464","8,252","8,525","15,758",6,1,7,98,"1,976","383,724","160,715","390,574","115,880","6,007","142,260","457,035","599,295","532,834","989,869",0,0,160,"5,376",72,785,75,"2,410",5,"5,015",307,"8,571",Yes,"59,870","302,549","51,294",19,Yes,Yes,Yes,Yes,Yes,CA0045,18-19
HUMBOLDT COUNTY LIBRARY,Humboldt,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1313 THIRD ST.,EUREKA,95501,553,7072691918,(707) 269-1905,http://www.co.humboldt.ca.us/library/,"3,573.00","135,333","110,026","18,982",1,10,1,12,"84,645","$2,679,942 ","$138,183 ",$42 ,"$971,206 ","$3,789,373 ","$32,662 ","$143,564 ",$0 ,$0 ,$0 ,"$143,564 ","$1,467,581 ","$724,802 ","$2,192,383 ","$120,547 ","$20,547 ","$141,094 ","$30,000 ","$13,327 ","$184,421 ","$1,295,623 ","$3,672,427 ","$148,203 ",57,8,8,20.8,28.8,21,"79,029","9,950","257,261","25,040","15,182","11,691","15,984",45,6,0,6,401,"14,037","274,742","38,238","489,936","155,755","2,826","44,757","8,000","52,757","534,693","542,693",720,532,816,"16,600",35,159,209,"3,804",177,"5,914","1,060","20,563",No,"80,000","81,913",,46,Yes,Yes,No,Yes,Yes,CA0039,18-19
HUNTINGTON BEACH PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,7111 TALBERT AVE,HUNTINGTON BEACH,92648,1232,7149608836,(714) 842-4481,http://www.hbpl.org,26,"203,761","138,546","12,309",1,4,0,5,"127,240","$5,581,930 ","$57,441 ","$22,320 ","$375,948 ","$6,037,639 ","$57,441 ","$127,570 ",$0 ,$0 ,$0 ,"$127,570 ","$2,790,212 ","$1,329,363 ","$4,119,575 ","$340,157 ","$17,490 ","$357,647 ","$237,189 ","$53,800 ","$648,636 ","$1,269,428 ","$6,037,639 ",$0 ,109,10,11,55,66,26.76,"107,663","10,469","267,969","370,817","10,144","328,991","10,873","39,929",13,1,14,143,"11,440","793,044","64,220","942,821","477,775","6,016","91,234","39,568","130,802","1,034,055","1,073,623",21,29,"1,280","46,340",68,995,67,"1,343",0,0,"1,415","48,678",Yes,"73,755",,"105,200",71,Yes,Yes,No,Yes,Yes,CA0046,18-19
IMPERIAL COUNTY LIBRARY,Imperial,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Serra Cooperative Library System,1125 W. MAIN STREET,EL CENTRO,92243,9516,4422657100,-1,http://www.co.imperial.ca.us/Library,"4,275.00","54,554","7,210","2,546",0,4,0,4,"8,055","$422,696 ","$43,326 ",$0 ,"$78,983 ","$545,005 ","$26,124 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$326,355 ","$147,368 ","$473,723 ","$12,877 ","$1,820 ","$14,697 ",$600 ,"$6,390 ","$21,687 ","$124,124 ","$619,534 ",$0 ,13,1,1,8,9,1,"34,902","3,989","60,648",20,"1,888",0,"2,242",0,2,3,5,2,"5,950","39,282","1,941","43,078","13,690","1,338",,,,,"43,078",0,0,812,"3,978",21,81,185,"1,043",,,"1,018","5,102",No,"8,707",,,19,Yes,Yes,No,Yes,Yes,CA0047,18-19
IMPERIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,200 W. 9TH ST.,IMPERIAL,92251,1213,7603551332,(760) 355-1332,http://www.cityofimperial.org/public-library,7,"19,929","7,237","1,730",1,0,0,1,"10,725","$198,870 ","$43,000 ",$0 ,"$9,000 ","$250,870 ","$43,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$116,800 ","$29,370 ","$146,170 ","$8,500 ",$750 ,"$9,250 ",$0 ,"$2,200 ","$11,450 ","$41,250 ","$198,870 ",$0 ,7,0,1,3.5,4.5,0.4,"15,200",25,"35,830","3,850",717,"1,380","1,044",0,1,0,1,22,"2,504","23,400","2,100","26,021","19,465",925,730,,730,"26,751","26,751",12,48,80,"1,710",1,3,1,3,4,300,82,"1,716",Yes,"4,130",,516,11,Yes,Yes,Yes,Yes,Yes,CA0048,18-19
INGLEWOOD PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 W. MANCHESTER BLVD.,INGLEWOOD,90301,1771,3104125397,(310) 412-5380,http://library.cityofinglewood.org,9,"112,549","97,151","14,800",1,1,0,2,"84,900","$4,264,989 ",$0 ,$0 ,$0 ,"$4,264,989 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,395,156 ","$1,162,741 ","$3,557,897 ","$112,800 ","$181,900 ","$294,700 ","$108,236 ","$28,500 ","$431,436 ","$250,126 ","$4,239,459 ",$0 ,41.09,9,10,9,19,0,"48,500","6,250","189,500","2,245","1,550","6,800","3,879",423,41,2,43,335,"4,524","180,000","13,557","71,497","44,000","4,600","12,300","12,900","25,200","83,797","96,697",0,3,92,"5,800",66,700,66,650,8,200,224,"7,150",Yes,"14,300",,,46,Don't know,Don't know,No,Yes,No,CA0049,18-19
INYO COUNTY FREE LIBRARY,Inyo,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,Inland Library System,168 N. EDWARDS,INDEPENDENCE,93526,610,7608780359,(760) 878-0260,http://www.countyofinyo.org/library/index.htm,"10,091.00","18,593","10,270",-1,1,5,0,6,"15,793","$487,769 ",$0 ,$0 ,"$6,068 ","$493,837 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$292,139 ","$128,462 ","$420,601 ","$26,428 ","$5,949 ","$32,377 ","$3,000 ",$0 ,"$35,377 ","$37,859 ","$493,837 ",$0 ,9,0,5.47,1.45,6.92,0.63,"31,166","2,317","127,065","137,382","1,715","8,302","7,079","22,962",0,4,4,145,"7,313","44,269","8,370","41,721","12,273",,"3,494",,"3,494","45,215","45,215",0,0,79,912,1,3,8,97,12,108,88,"1,012",No,"11,064",,,21,Yes,Yes,No,Yes,Yes,CA0050,18-19
IRWINDALE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,5050 N. IRWINDALE AVE.,IRWINDALE,91706,2193,(626) 430-2229,(626) 430-2229,www.irwindaleca.gov,10,"1,506","6,509","1,734",1,0,0,1,"2,831","$410,054 ",$0 ,$0 ,"$6,253 ","$416,307 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$245,613 ","$61,515 ","$307,128 ","$18,369 ","$2,969 ","$21,338 ","$6,122 ","$5,605 ","$33,065 ","$43,592 ","$383,785 ",$0 ,14,1,1,6,7,0,"10,673","1,618","17,318","20,120",612,"8,382","3,965",268,2,1,3,72,"2,316","21,937","5,807","28,681","15,370",581,457,155,612,"29,138","29,293",0,15,70,"2,243",8,86,12,160,12,344,90,"2,489",Yes,"6,188","2,555",,12,Yes,Yes,No,Yes,Yes,CA0161,18-19
KERN COUNTY LIBRARY,Kern,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,701 TRUXTUN AVE.,BAKERSFIELD,93301,4816,6618680700,(661) 868-0770,http://kernlibrary.org,"8,141.00","916,464","124,646","25,582",1,23,3,27,"283,828","$6,088,901 ","$7,646 ","$40,000 ","$648,138 ","$6,784,685 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,053,943 ","$1,705,737 ","$4,759,680 ","$174,788 ","$1,120 ","$175,908 ","$121,458 ","$95,295 ","$392,661 ","$1,584,698 ","$6,737,039 ",$0 ,117,10,10,70.25,80.25,12.09,"251,086","39,648","737,470","357,107","35,219","325,798","24,941","35,191",28,3,31,436,"36,153","1,093,408","110,454","878,125","462,496","21,583","164,851","7,799","172,650","1,042,976","1,050,775","83,955","71,070","7,434","137,357",606,"5,022","1,956","26,959",194,"26,625","9,996","169,338",Yes,"164,334","1,936,841","75,266",262,Yes,Yes,Yes,Yes,Yes,CA0051,18-19
KINGS COUNTY LIBRARY,Kings,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,401 N. DOUTY ST.,HANFORD,93230,3908,5598524005,(559) 852-4003,http://www.kingscountylibrary.org/,"1,396.00","153,710","26,912","4,875",1,6,0,7,"55,400","$2,447,749 ",$0 ,$0 ,"$76,891 ","$2,524,640 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,025,531 ","$360,836 ","$1,386,367 ","$110,000 ","$7,000 ","$117,000 ","$43,350 ","$14,000 ","$174,350 ","$898,269 ","$2,458,986 ",$0 ,17.51,3,5,12.51,17.51,28,"53,534","12,015","169,408","82,254","2,663",781,"12,213","5,176",32,2,34,149,"12,584","137,020","5,973","189,256","78,660","3,663","20,572","11,320","31,892","209,828","221,148","30,683","22,688",226,"3,948",7,244,6,"1,567",20,"1,827",239,"5,759",Yes,"32,558","165,641","8,529",82,Yes,Yes,Yes,Yes,Yes,CA0053,18-19
LA COUNTY LIBRARY,Los Angeles,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Southern California Library Cooperative,7400 E. IMPERIAL HIGHWAY,DOWNEY,90241,3375,5629408462,N/A,http://www.lacountylibrary.org,"3,041.33","3,382,355","2,498,788","509,308",0,85,3,88,"1,118,290","$146,220,487 ","$229,375 ","$39,521 ","$18,789,329 ","$165,278,712 ","$34,521 ","$380,000 ",$0 ,$0 ,"$3,510,000 ","$3,890,000 ","$64,686,829 ","$38,742,242 ","$103,429,071 ","$6,651,341 ",$0 ,"$6,651,341 ","$4,391,973 ","$1,261,217 ","$12,304,531 ","$37,745,311 ","$153,478,913 ","$3,977,874 ","1,560.00",281,282,997,"1,279.00",27,"2,132,475","250,572","4,272,527","525,682","211,571","241,977","558,099","31,727",40,3,43,"4,926","216,854","9,754,089","1,135,805","12,786,749","4,867,459","500,890","2,345,072","2,907,433","5,252,505","15,131,821","18,039,254",679,664,"18,412","422,716","3,164","28,678","6,627","68,886","7,638","217,440","28,203","520,280",Yes,"1,477,261","1,408,411","4,051,081","1,793",Yes,Yes,Yes,Yes,Yes,CA0062,18-19
LAKE COUNTY LIBRARY,Lake,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1425 N. HIGH ST,LAKEPORT,95453,3800,7072638817,(707) 263-8817,http://library.lakecountyca.gov,"1,296.00","65,071","44,700","4,375",1,3,0,4,"29,821","$907,418 ","$92,643 ","$5,700 ","$87,029 ","$1,092,790 ","$54,004 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$420,114 ","$188,593 ","$608,707 ","$56,082 ","$3,181 ","$59,263 ","$16,267 ","$1,004 ","$76,534 ","$402,371 ","$1,087,612 ",$0 ,18,1,1,10.05,11.05,1.21,"39,606","4,205","135,442","420,669","3,758","343,471","7,893","16,185",6,3,9,44,"6,080",,"1,560","190,886","51,516",941,"16,185","3,474","19,659","207,071","210,545","97,858","43,715",425,"11,338",16,83,207,"1,082",69,"3,703",648,"12,503",Yes,"27,441","51,503",,31,Yes,Yes,Yes,Yes,Yes,CA0054,18-19
LARKSPUR PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,400 MAGNOLIA AVE,LARKSPUR,94939,2035,4159275005,(415) 927-5005,http://www.larkspurlibrary.org,3,"12,578","6,357",738,1,0,0,1,"3,300","$876,277 ","$1,000 ",$0 ,"$39,523 ","$916,800 ",$0 ,$0 ,$0 ,$0 ,"$18,000 ","$18,000 ","$470,717 ","$139,907 ","$610,624 ","$45,573 ","$5,674 ","$51,247 ","$24,178 ","$6,966 ","$82,391 ","$179,741 ","$872,756 ","$18,000 ",18,3.5,3.5,3.75,7.25,0.1,"18,239","1,115","46,718","156,474","1,394","11,897","3,667",100,26,1,27,45,"2,500",,"11,865","110,072","37,875",458,"17,222","285,222","302,444","127,294","412,516","22,940","14,927",309,"9,307",5,32,112,"2,309",29,972,426,"11,648",No,"2,996","19,393",,4,Yes,Yes,No,Yes,Yes,CA0055,18-19
LASSEN LIBRARY DISTRICT,Lassen,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,NorthNet Library System,1618 MAIN ST.,SUSANVILLE,96130,4515,5302578113,(530) 251-8127,http://www.lassenlibrary.org/,"4,557.00","15,008","5,317",269,1,0,0,1,"12,000","$110,338 ","$94,987 ",$0 ,"$97,677 ","$303,002 ","$83,000 ",$0 ,$0 ,$0 ,"$76,126 ","$76,126 ","$119,437 ","$11,456 ","$130,893 ","$6,345 ",$0 ,"$6,345 ",$0 ,$0 ,"$6,345 ","$114,690 ","$251,928 ","$3,370 ",8,0,0.56,2.79,3.35,0.02,"13,417","2,807","41,667","15,979","2,312","5,913","1,840",45,2,0,2,36,"1,204","32,947",832,"24,247","7,909",52,"2,193",45,"2,238","26,440","26,485",24,12,67,"1,928",6,10,74,94,0,0,147,"2,032",No,"8,333","13,705","1,248",16,Yes,Yes,No,Yes,Yes,CA0195,18-19
LINCOLN PUBLIC LIBRARY,Placer,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,485 TWELVE BRIDGES DRIVE,LINCOLN,95648,8823,9164342410,(916) 434-2406,http://www.libraryatlincoln.org,6,"48,277","14,721","2,692",1,0,0,1,"40,000","$639,257 ","$45,148 ",$0 ,"$20,000 ","$704,405 ","$25,000 ","$123,854 ","$14,963 ",$0 ,$0 ,"$138,817 ","$284,265 ","$111,113 ","$395,378 ","$56,494 ","$5,907 ","$62,401 ","$25,263 ","$15,846 ","$103,510 ","$262,474 ","$761,362 ","$128,903 ",9,0.8,1.7,4,5.7,5.8,"33,726","6,022","88,674","374,298","10,728","439,552","14,236","49,446",16,2,18,202,"1,581","221,591","15,072","209,227","109,048","1,264","30,169","14,198","44,367","239,396","253,594",0,0,224,"8,926",0,0,27,752,2,117,251,"9,678",No,,,,38,Yes,No,No,Yes,Don't know,CA0057,18-19
LIVERMORE PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1188 S. LIVERMORE AVE.,LIVERMORE,94550,4813,9253735500,(925) 373-5505,http://www.livermorelibrary.net,20,"91,039","69,980","13,635",1,2,0,3,"59,600","$5,555,220 ","$43,656 ",$0 ,"$66,904 ","$5,665,780 ","$39,226 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,489,441 ","$1,964,690 ","$4,454,131 ","$185,392 ","$14,344 ","$199,736 ","$117,977 ","$44,847 ","$362,560 ","$849,089 ","$5,665,780 ",$0 ,97,12.5,12.5,24.5,37,7.6,"98,540","6,491","209,367","132,641","5,598","2,825","12,062",0,25,4,29,202,"5,159","384,369","30,056","696,502","670,971","33,987","64,458","142,760","207,218","760,960","903,720","10,221","10,166",898,"39,089",74,"1,795",454,"6,215",86,"8,732","1,426","47,099",No,"84,525","152,906",,80,Yes,Yes,No,Yes,Don't know,CA0058,18-19
LODI PUBLIC LIBRARY,San Joaquin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",49-99 Cooperative Library System,201 W. LOCUST STREET,LODI,95240,2013,(209) 333-5554,(209) 333-5503,library.lodi.gov,12,"68,272","40,984","10,999",1,0,0,1,"30,750","$1,337,700 ","$77,888 ",$0 ,$0 ,"$1,415,588 ","$77,888 ","$100,000 ",$0 ,$0 ,$0 ,"$100,000 ","$407,538 ","$264,593 ","$672,131 ","$63,630 ","$10,718 ","$74,348 ","$13,316 ",$459 ,"$88,123 ","$641,605 ","$1,401,859 ",$0 ,17,1,1.75,12,13.75,2,"25,630","3,358","83,551","8,525","1,695","7,888","4,781",0,11,4,15,179,"3,016","198,466","8,984","153,040","77,575","2,537","7,403","7,450","14,853","160,443","167,893","2,014","1,909",352,"10,583",25,286,364,"15,628",0,0,741,"26,497",Yes,"24,674",,,25,Yes,Yes,No,Yes,Yes,CA0059,18-19
LOMPOC PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,501 E. NORTH AVE.,LOMPOC,93436,3404,8058758787,(805) 875-8778,http://www.cityoflompoc.com/library/,444,"59,978","15,104","3,350",1,1,1,3,"23,467","$1,252,487 ","$49,435 ",$0 ,"$35,927 ","$1,337,849 ","$49,435 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$626,374 ","$249,743 ","$876,117 ","$69,197 ","$2,965 ","$72,162 ","$26,579 ",$0 ,"$98,741 ","$403,000 ","$1,377,858 ",$0 ,18,4,4,10,14,1.4,"22,568","3,515","54,902","205,271","3,825","18,076","12,306","1,229",2,4,6,59,"4,544","185,152","34,971","304,694","130,346","6,719","32,904","2,473","35,377","337,598","340,071","37,861","26,947",696,"17,294",41,478,85,"1,286",107,"3,058",822,"19,058",Yes,"41,718",,"16,661",43,No,No,No,Yes,No,CA0060,18-19
LONG BEACH PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,101 PACIFIC AVE.,LONG BEACH,90822,1097,5625706291,(562) 570-7500,http://www.lbpl.org/,50,"475,013","310,511","59,409",1,11,0,12,"238,120","$14,454,197 ","$82,625 ",$0 ,"$1,780,803 ","$16,317,625 ","$82,625 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$7,212,702 ","$3,682,660 ","$10,895,362 ","$789,798 ","$53,463 ","$843,261 ","$515,797 ","$76,992 ","$1,436,050 ","$3,741,472 ","$16,072,884 ","$368,577 ",175,39.82,39.82,88.27,128.09,2.3,"261,003","46,038","667,450","14,776","28,448","5,058","29,328",0,30,4,34,439,"20,838","854,437","290,493","1,079,390","559,982","33,099","193,077","1,484,394","1,677,471","1,272,467","2,756,861",153,26,"2,259","76,769",314,"3,140",760,"7,677",295,"28,365","3,333","87,586",Yes,"204,857","509,419","141,543",333,Yes,Yes,No,Yes,Yes,CA0061,18-19
