Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,# of Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded,Electronic Collections State Funded (no more than 6),# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge late fines?,Charge per day for Adults,For Young Adults,For Children,Do you lend laptops?,Do you lend hot spots?,Circulation of Childrens Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,Circulation of Other Physical Items,Physical Item Circulation,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Total Program Attendance,# of Children's Programs (calculated),Children's Program Attendance,# of Pre School Programs,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Pre-School Program Attendance,Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of School Aged Programs,# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",School Aged Program Attendance,Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs,# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance,Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs,# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance,Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of Programs for all ages,# of Programs for all ages (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance,General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Website visits,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,# of self-directed activities,# of participants,Describe activities,FSCS ID,Fiscal Year
SANTA CLARA COUNTY LIBRARY,Santa Clara,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,Pacific Library Partnership,1370 DELL AVENUE,CAMPBELL,95008,1817,(408) 293-2326,(408) 293-2326,http://www.sccl.org,"1,046.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"438,509","508,290","139,831",0,8,2,10,"306,844","$63,160,768 ","$129,158 ","$40,868 ","$963,016 ","$64,293,810 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$21,525,983 ","$13,252,506 ","$34,778,489 ","$3,177,325 ","$255,152 ","$3,432,477 ","$4,889,752 ","$684,961 ","$9,007,190 ","$10,171,609 ","$53,957,288 ","$255,152 ",432,89,92,221.9,313.9,0.5,"735,036","63,084","1,452,251","147,904","259,414",0,"1,859,569","2,196","206,613","95,345","31,503",82,4,86,"5,837","350,620",Annual Count,"97,535",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"3,517,705","230,351",313,221,0,"4,211,606","3,152,444","4,172,418",,"7,324,862","11,536,468",Yes,971,"48,688",467,"26,565",,327,0,327,,"18,596",0,"18,596",,140,0,140,,"7,969",0,"7,969",,29,0,29,,"4,383",0,"4,383",,460,0,460,,"17,256",0,"17,256",,15,0,15,,484,0,484,0,0,258,"29,500",-1,No,"10,950",Annual Count,"2,948,272","263,733",Annual Count,319,0,0,N/A,CA0126,20-21
SANTA CLARITA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,23743 VALENCIA BLVD.,SANTA CLARITA,91355,2105,(661) 799-6132,(661) 259-0750,http://www.santaclaritalibrary.com,58,Yes,Yes,No,Yes,Yes,No,Yes,Yes,"221,572","96,855","24,520",0,3,0,3,"71,066","$8,399,980 ","$4,000 ","$12,385 ","$238,349 ","$8,654,714 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,627,636 ","$895,656 ","$3,523,292 ","$407,041 ",$0 ,"$407,041 ","$554,272 ","$49,258 ","$1,010,571 ","$1,735,563 ","$6,269,426 ","$2,156 ",84,22,22,36,58,0.32,"115,651","14,627","231,612","8,368","16,621",50,"256,651",0,"37,433","10,654","1,491",35,4,39,"1,767","45,582",Annual Count,-1,,Yes,$0.30 ,$0.15 ,$0.15 ,No,No,"253,632","4,831",0,2,152,"377,217","196,893","83,226",,"280,119","657,336",Yes,664,"16,026",293,"11,486",,245,110,135,,"9,772","5,927","3,845",,48,44,4,,"1,714","1,640",74,,178,30,148,,"1,464",91,"1,373",,158,24,134,,"1,254",258,996,,35,0,35,,"1,822",0,"1,822",99,"6,075",191,"14,085","5,651",Yes,"4,966",Annual Count,"248,617","6,178",Annual Count,169,192,"21,004","Grab & Go craft/activity kits (for kids, teens, adults), Storytime Starters, book drop-offs/laundromat libraries, social media challenges",CA0210,20-21
SANTA CRUZ PUBLIC LIBRARIES,Santa Cruz,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,Pacific Library Partnership,117 UNION STREET,SANTA CRUZ,95060,3873,(831) 427-7706,(831) 427-7707,http://www.santacruzpl.org/,436,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"209,749","167,502","31,050",1,9,1,11,"95,540","$15,290,658 ","$23,559 ",$0 ,"$445,262 ","$15,759,479 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,967,755 ","$3,061,506 ","$9,029,261 ","$282,199 ","$51,119 ","$333,318 ","$771,183 ","$95,303 ","$1,199,804 ","$2,783,677 ","$13,012,742 ","$132,132 ",101,26,26,76.63,102.63,5.25,"120,192","12,686","348,378","34,463","27,530",0,"410,371",,"38,046","43,460","37,795",28,1,29,"8,596",-1,Annual Count,-1,Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"133,991","15,770",0,0,527,"672,684","464,875","175,998",,"640,873","1,313,557",No,877,"12,579",364,"6,251",241,241,,,"3,196","3,196",,,123,123,,,"3,055","3,055",,,70,70,,,"1,111","1,111",,,443,443,,,"5,217","5,217",,,0,0,,,0,0,,,-1,-1,-1,-1,-1,Yes,-1,Annual Count,"795,824",-1,Annual Count,298,-1,-1,,CA0127,20-21
SANTA FE SPRINGS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11700 E. TELEGRAPH RD.,SANTA FE SPRINGS,90670,3600,(562) 868-7738,(562) 868-7738,http://www.sfslibrary.org,9,Yes,Yes,Yes,Yes,Yes,No,No,No,"18,129","44,961","13,237",1,1,0,2,"16,300","$1,649,122 ","$32,163 ","$23,776 ","$8,493 ","$1,713,554 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$621,833 ","$751,266 ","$1,373,099 ","$71,643 ",$421 ,"$72,064 ","$64,138 ",$0 ,"$136,202 ","$204,253 ","$1,713,554 ",$0 ,15,4,4,7.5,11.5,0,"15,901","1,568","37,501","1,062","6,941",0,"45,504",,"684,780","209,938","49,584",5,0,5,"3,000","1,955",Annual Count,-1,Annual Count,No,$0.25 ,$0.25 ,$0.25 ,No,Yes,"24,068","1,362",67,25,,"59,867","10,735","934,361",,"945,096","1,004,963",Yes,41,500,5,500,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,36,0,36,,0,0,-1,,0,0,0,,0,0,0,0,0,146,"16,457",-1,Yes,-1,,-1,-1,,31,10,-1,Grab and go kits for art and STEAM,CA0128,20-21
SANTA MARIA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,421 S. MCCLELLAND ST.,SANTA MARIA,93454,5116,(805) 925-0994,(805) 925-0994,http://www.cityofsantamaria.org/library,"1,260.00",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"158,581","43,742","7,798",1,4,1,6,"69,292","$3,764,382 ","$85,997 ","$27,000 ","$117,303 ","$3,994,682 ","$6,962 ",$0 ,"$10,000 ","$65,703 ","$82,665 ","$1,357,694 ","$728,415 ","$2,086,109 ","$111,409 ","$10,863 ","$122,272 ","$51,667 ","$21,208 ","$195,147 ","$934,743 ","$3,215,999 ","$25,139 ",60,7,9,33.5,42.5,2.5,"55,291","8,344","163,278","14,179","19,088",251,"196,796",274,"169,384","23,759","17,154",5,6,11,"3,644","30,552",Annual Count,"4,997",Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,Yes,Yes,"62,686","5,995","3,012","1,330",547,"142,351","76,691","5,386",,"82,077","224,428",Yes,87,656,44,411,,44,0,44,,411,0,411,,0,0,0,,0,0,0,,10,0,10,,63,0,63,,33,0,33,,182,0,182,,0,0,0,,0,0,0,7,122,57,812,0,Yes,"2,035",Annual Count,"71,940","95,789",Annual Count,146,91,"2,074",Craft/Gardening Grab and Go Kits/Youth/Teen Activity Program Packs,CA0129,20-21
SANTA MONICA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,601 SANTA MONICA BLVD,SANTA MONICA,90401,2501,(310) 458-8600,(310) 458-8600,https://www.smpl.org,8,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"92,968","81,452","4,967",1,4,0,5,"136,376","$8,627,913 ","$83,376 ",$0 ,"$23,714 ","$8,735,003 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,426,866 ","$2,488,205 ","$6,915,071 ","$294,885 ","$35,031 ","$329,916 ","$363,705 ","$50,933 ","$744,554 ","$966,160 ","$8,625,785 ","$25,594 ",70,21,21,26.8,47.8,0,"119,920","17,943","373,757","21,449","37,969",0,"433,175",73,"511,204","424,166","19,738",16,3,19,114,"9,810",Annual Count,"38,976",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,No,No,"147,625","17,793",0,6,0,"397,056","220,803",-1,,"220,803","617,859",Yes,126,"2,089",47,669,,30,0,30,,252,0,252,,17,0,17,,417,0,417,,2,0,2,,18,0,18,,77,0,77,,"1,402",0,"1,402",,0,0,0,,0,0,0,2,51,-1,-1,-1,No,"21,961",Annual Count,"570,541","17,540",Annual Estimate Based on Typical Week(s),14,12,"1,752","Take & Make Kits: Art, gardening, crafts, arts & literature, STEAM, engineering, recycling.",CA0130,20-21
SAUSALITO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,420 LITHO ST.,SAUSALITO,94965,1933,(415) 289-4121,(415) 289-4120,http://www.sausalitolibrary.org,2,Yes,Yes,Yes,Yes,Yes,No,No,No,"7,355","5,159",333,1,0,0,1,"6,250","$527,324 ","$3,470 ",$0 ,"$153,000 ","$683,794 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$390,225 ","$143,106 ","$533,331 ","$39,906 ","$6,070 ","$45,976 ","$17,579 ","$6,183 ","$69,738 ","$80,655 ","$683,724 ",$0 ,6,3,3,0.5,3.5,0.5,"9,574","1,371","44,941","2,633","3,883",2,"51,459",114,"601,773","439,899","47,982",20,3,23,86,"2,504",Annual Count,"1,064",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"17,173",99,"26,372","10,386",10,"58,991","32,868",-1,,"32,868","91,859",No,33,689,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,32,32,,,647,647,,,1,1,,,42,42,,,0,0,8,"5,425",-1,No,40,Annual Count,"27,399",-1,,8,12,"1,200",Monthly craft kits for all ages.,CA0132,20-21
SHASTA PUBLIC LIBRARIES,Shasta,Municipal Library,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1100 PARKVIEW,REDDING,96001,3231,(530) 245-7260,(530) 245-7252,http://www.shastalibraries.org,"3,850.00",Yes,Yes,Yes,Yes,Yes,No,No,No,"177,797","60,749","17,446",1,2,0,3,"66,100","$2,290,081 ","$70,997 ",$0 ,"$64,314 ","$2,425,392 ",$0 ,$0 ,$0 ,"$17,130 ","$17,130 ",$0 ,$0 ,$0 ,"$126,699 ","$3,341 ","$130,040 ","$75,309 ","$25,019 ","$230,368 ","$2,313,134 ","$2,543,502 ","$43,666 ",31,5.8,5.8,16.65,22.45,0.49,"45,027","5,811","161,457","11,191","8,847",219,"181,714",83,"205,378","18,025",290,23,6,29,"5,996","240,745",Annual Count,"64,626",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,No,"153,811","1,170",0,0,572,"296,268","85,517","93,342",,"178,859","475,127",Yes,821,"18,089",194,"12,432",,,,,-1,,,,,,,,-1,,,,93,93,,,"1,487","1,487",,,534,534,,,"4,170","4,170",,,0,0,,,0,0,,,1,40,310,"10,858",31,Yes,"27,372",Annual Count,"142,031","70,832",Annual Count,96,37,-1,"Messy-ish Paint kits, Creative Writing kits, Seed Starting kits, Tie Dye kits, Soapmaking kits, NaNoWriMo kits, Veterans Connect bags with paracord bracelets, Operation Gratitude letter writing kits for Military servicemembers, paracord bracelet making kits, Book Harvest activity bags, Cards for hospitalized kids/teens, Pumpkin Painting, Read for the Record, Cup & Canvas, Smash Books journal kits, Fall activity packets, Thanksgiving activity bags, Fantastical Wonderland take home kits, Letter writing kits for First Responders, Sewing stuffed animal take home kits, tie blanket kits, Silly Seuss Week kits, mask-making kits, St. Patrick's Day kits, Planting Wildflowers kits, and Storytime crafts: Sesame Street coloring books, sticker packets, storm books, preschool kite making kits, Luna Loves Library Day craft kits, Easter baskets, Dinosaur crafts, Recycling, caterpillar crafts, DIY bookmarks, clothespin dragonfly, flip book.",CA0133,20-21
SIERRA MADRE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,440 W. SIERRA MADRE BLVD.,SIERRA MADRE,91024,2399,(626) 355-7186,(626) 355-7186,www.cityofsierramadre.com/services/library,3,Yes,Yes,No,Yes,Yes,No,Yes,No,"10,655","8,787","1,641",1,0,0,1,"8,762","$352,318 ","$4,992 ","$11,622 ","$52,667 ","$421,599 ","$37,313 ",$0 ,$0 ,"$16,868 ","$54,181 ","$271,623 ","$83,734 ","$355,357 ","$26,905 ","$6,876 ","$33,781 ","$18,661 ","$12,969 ","$65,411 ","$55,012 ","$475,780 ","$54,181 ",12,3.45,3.45,4.77,8.22,0.72,"16,994","1,617","41,212","2,396","3,306",198,"47,112",72,"26,956","11,584",297,7,4,11,427,"10,198",Annual Count,"4,837",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,Yes,No,"53,590",494,0,0,652,"74,547","10,128","2,391",,"12,519","87,066",Yes,404,"4,205",296,"3,615",,97,42,55,,859,757,102,,199,6,193,,"2,756",100,"2,656",,18,2,16,,109,20,89,,71,2,69,,311,51,260,,19,0,19,,170,0,170,19,170,139,"11,135",338,No,579,Annual Count,-1,"15,006",Annual Estimate Based on Typical Week(s),5,38,"2,050",We had the 1000 Books before Kindergarten and Wednesday Grab N Go activities. We did NOT count our 46 Story Walks as we were unable to count # of participants.,CA0134,20-21
SIGNAL HILL PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1780 EAST HILL ST.,SIGNAL HILL,90755,3632,(562) 989-7323,(562) 989-7323,http://www.cityofsignalhill.org/library,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"11,617","2,310","1,183",1,0,0,1,"14,000","$372,602 ",$0 ,"$2,000 ",$0 ,"$374,602 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$226,550 ","$90,456 ","$317,006 ","$19,200 ",$0 ,"$19,200 ","$2,005 ",$0 ,"$21,205 ","$34,391 ","$372,602 ",$0 ,12,1,1,1,2,4,"6,696","1,494","20,402",666,"2,328",0,"23,396",52,"8,333","4,391",30,2,0,2,0,0,Annual Count,"2,156",Annual Count,Yes,$0.30 ,$0.15 ,$0.15 ,Yes,Yes,"3,743",132,152,10,-1,"6,665","3,259",-1,,"3,259","9,924",Yes,19,100,5,6,,5,0,5,,6,0,6,,0,0,0,,0,0,0,,2,0,2,,10,0,10,,12,0,12,,84,0,84,,0,0,0,,0,0,0,0,0,-1,-1,-1,Yes,0,Annual Count,"7,251","10,256",Annual Count,23,2,82,DIY Crafts,CA0166,20-21
SIMI VALLEY PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,2969 TAPO CANYON RD,SIMI VALLEY,93063,2117,(805) 526-1735,(805) 526-1735,www.simivalleylibrary.org,41,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"124,468","34,382","4,439",1,0,0,1,"35,000","$2,294,696 ","$4,894 ","$7,827 ","$19,025 ","$2,326,442 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$772,428 ","$325,705 ","$1,098,133 ","$98,913 ","$2,695 ","$101,608 ","$112,677 ",$0 ,"$214,285 ","$913,557 ","$2,225,975 ",$0 ,20,4,4,12.5,16.5,0.2,"48,030","11,208","114,837","3,156","10,725",812,"129,530",34,"594,737","423,707","21,488",6,5,11,798,"25,552",Annual Count,"4,845",Annual Count,No,,,,No,No,"133,994","1,363","12,182","30,171",244,"180,071","67,609","1,628",,"69,237","249,308",No,180,"3,730",52,"2,445",,,,,-1,,,,,,,,-1,,,,,32,0,32,,128,0,128,96,96,,,"1,157","1,157",,,0,0,,,0,0,,,12,"1,470",85,"10,372",843,Yes,"1,163",Annual Count,"90,780","76,045",Annual Count,28,75,"2,438",Take home kits; indoor/outdoor scavenger hunts; adult coloring; displays that invited engagement that could be counted.,CA0211,20-21
SISKIYOU COUNTY FREE LIBRARY,Siskiyou,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,719 FOURTH ST.,YREKA,96097,3302,(530) 842-8807,(530) 842-8807,http://www.siskiyoulibrary.info,"6,267.00",Yes,Yes,Yes,Yes,Yes,Yes,No,No,"44,330","8,713","1,863",1,11,0,12,"30,252","$467,773 ","$115,158 ","$130,563 ","$17,898 ","$731,392 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$205,532 ","$146,022 ","$351,554 ","$16,992 ",$0 ,"$16,992 ","$15,614 ","$8,114 ","$40,720 ","$208,413 ","$600,687 ",$0 ,4,2,2,2,4,2.3,"25,359","3,072","83,360","4,470","12,322",0,"100,152",343,"41,628","18,337",299,1,3,4,"3,115",-1,Annual Estimate Based on Typical Week(s),-1,Annual Estimate Based on Typical Week(s),Yes,$0.20 ,$0.20 ,$0.20 ,No,No,"16,015",38,0,1,0,"64,912","20,216",-1,,"20,216","85,128",No,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,Yes,"1,981",Annual Count,-1,-1,Annual Estimate Based on Typical Week(s),63,0,0,None,CA0135,20-21
SOLANO COUNTY LIBRARY,Solano,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1150 KENTUCKY ST.,FAIRFIELD,94533,9988,(707) 784-1500,(866) 572-7587,http://solanolibrary.com/,631,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"411,416","152,535","55,267",0,9,0,9,"146,774","$24,924,419 ","$107,929 ","$236,621 ","$218,827 ","$25,487,796 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$8,091,025 ","$5,063,633 ","$13,154,658 ","$478,220 ","$52,456 ","$530,676 ","$784,370 ","$180,206 ","$1,495,252 ","$5,692,242 ","$20,342,152 ","$329,804 ",271,40.63,40.63,79.8,120.43,0,"161,767","27,413","354,184","37,277","79,635","1,072","472,168",634,"10,019","6,399",0,18,4,22,"20,062","306,870",Annual Count,"39,667",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,No,Yes,"472,417","11,201","7,907","1,729","7,091","1,068,680","266,666","128,969",,"395,635","1,464,315",No,647,"14,894",415,"11,628",109,109,,,647,647,,,306,306,,,"10,981","10,981",,,159,159,,,"1,513","1,513",,,73,73,,,"1,753","1,753",,,0,0,,,0,0,,,8,206,333,"23,520","22,800",No,"35,485",Annual Count,"631,079","59,650",Annual Count,224,7,"7,620",Various STEAM activities in a brown paper kits with an accompanying Zoom session offered and printed directions.,CA0136,20-21
SONOMA COUNTY LIBRARY,Sonoma,Joint Powers Authority,County/Parish (exactly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,6135 STATE FARM DR.,ROHNERT PARK,94928,2147,(707) 545-0831,(707) 308-3020,http://sonomalibrary.org,"1,608.00",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"484,207","261,847","149,701",1,14,0,15,"200,547","$36,895,389 ","$196,310 ","$21,355 ","$423,035 ","$37,536,089 ","$1,100,489 ",$0 ,$0 ,"$1,298,877 ","$2,399,366 ","$13,028,345 ","$6,638,542 ","$19,666,887 ","$583,502 ","$126,574 ","$710,076 ","$1,756,857 ","$566,333 ","$3,033,266 ","$6,361,344 ","$29,061,497 ","$2,399,366 ",230,74.5,74.5,122.97,197.47,1.36,"255,103","34,358","654,425","28,678","64,828","1,836","749,767",918,"313,999","171,688","99,153",99,6,105,"2,617","56,144",Annual Count,-1,,No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"583,059","29,563","96,010","133,033","11,668","1,372,327","1,002,892","787,133","2,375,219","1,790,025","3,162,352",No,"1,890","43,976",625,"25,900",260,260,,,"7,589","7,589",,,365,365,,,"18,311","18,311",,,555,555,,,"10,211","10,211",,,710,710,,,"7,865","7,865",,,0,0,,,0,0,,,142,"12,123",546,"39,459","2,828",No,"5,729",Annual Count,"2,354,865","175,753",Annual Count,360,-1,-1,Take-and-make crafts & storywalks,CA0137,20-21
SOUTH PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1100 OXLEY ST.,SOUTH PASADENA,91030,3198,(626) 403-7330,(626) 403-7350,www.southpasadenaca.gov/library,3,Yes,Yes,Yes,Yes,Yes,No,No,No,"25,668","17,062","2,922",1,0,0,1,"24,500","$1,536,681 ","$2,000 ",$0 ,"$18,947 ","$1,557,628 ","$31,500 ",$0 ,$0 ,$0 ,"$31,500 ","$981,932 ","$352,228 ","$1,334,160 ","$57,900 ","$6,715 ","$64,615 ","$53,906 ","$13,613 ","$132,134 ","$117,633 ","$1,583,927 ","$24,442 ",33,5,7.68,10.2,17.88,2.5,"39,770","5,250","95,820","8,914","9,555",11,"114,300",96,"23,325","11,819","27,403",15,6,21,204,"7,586",Annual Count,"8,577",Annual Count,No,,,,No,No,"130,219","1,852",19,0,,"149,943","52,026","7,184",,"59,210","209,153",Yes,59,"1,983",29,"1,157",,1,0,1,,239,0,239,,28,0,28,,918,0,918,,18,0,18,,422,0,422,,12,0,12,,404,0,404,,0,0,0,,0,0,0,0,0,57,"2,094","1,323",No,193,Annual Count,"89,853",-1,,8,23,"1,903","Take & Make Crafts, Library Park Tree Scavenger Hunt, Ray Bradbury Scavenger Hunt, Harry Potter Trivia Day",CA0138,20-21
SOUTH SAN FRANCISCO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,840 W. ORANGE AVE.,SOUTH SAN FRANCISCO,94080,3125,(650) 829-3860,(650) 829-3860,http://www.ssf.net/library,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"67,135","31,512","8,777",1,2,0,3,"45,006","$5,238,305 ","$385,526 ","$36,615 ","$186,923 ","$5,847,369 ","$89,739,338 ",$0 ,$0 ,$0 ,"$89,739,338 ","$3,032,518 ","$1,604,526 ","$4,637,044 ","$105,013 ","$9,002 ","$114,015 ","$78,937 ","$49,826 ","$242,778 ","$361,081 ","$5,240,903 ","$17,733,038 ",81,14.06,14.06,27.43,41.49,0.45,"41,255","2,969","102,892","12,585","23,884",200,"139,561",208,"56,926","25,545","38,373",28,2,30,"2,140","39,446",Annual Count,884,Annual Estimate Based on Typical Week(s),Yes,$0.15 ,$0.00 ,$0.00 ,No,No,"67,564","5,306","89,322","31,671",-1,"187,843","58,026","20,321",,"78,347","266,190",Yes,762,"9,746",293,"6,117",,63,2,61,,752,26,726,,230,207,23,,"5,365","4,842",523,,20,19,1,,198,187,11,,406,236,170,,"3,356","1,439","1,917",,43,43,,,75,75,,21,292,69,625,"7,140",No,534,Annual Count,"140,989","124,624",Annual Count,132,86,"2,581","Librarians created unique themed activity packets that included reading lists, writing prompts, games and other literary activities. They were available via download or pick-up. In addition, they created ""take and Make: kits that included materials and instructions for completing self-directed activities at home. Examples include seed bombs, paper mache sculpture, paper circuits; Literacy staff created learning packets for learners, as well as parent and student kits to support literacy and grade-level homework.",CA0139,20-21
