FiscalYear,Location,County,LibraryType,GeographicCode,InterlibraryRelationshipcode,LegalBasisCode,CLSASystemLibrary,StreetAddress,City,Zip,Zip4,LibrarysWebAddress,PopulationofTheLegalServiceArea,RegisteredUsersasofJune30,ChildrenBorrowers,NumofCentralLibraries,NumofBranchLibraries,NumofBookmobiles,NumofOutlets,LibraryVisits,HoursOpenAllOutlets,Totalpersonsemployed,NumofLibrarianFTEs,FTEAllotherpaidstaff,NumofALAMLSLibrarianFTEs,TotalOperatingIncome,LocalGovernmentIncome,StateIncome,FederalIncome,CapitalOutlayIncomefromLocalSources,CapitalOutlayIncomefromStateSources,CapitalOutlayIncomefromFederalSources,CapitalOutlayIncomefromOtherSources,TotalCapitalOutlayIncome,OtherOperatingIncome,TotalOperatingExpenditures,TotalCollectionExpenditures,PrintMaterialsExpenditures,PrintSerialSubscriptionExpenditures,ElectronicMaterialsExpenditures,OtherMaterialsExpenditures,TotalPrintMaterialsExpenditures,SalaryWagesExpenditures,EmployeeBenefitsExpenditures,TotalStaffExpenditures,TotalCapitalExpenditures,AllOtherOperatingExpenditures,BooksChildrenHeld,BooksYoungAdultHeld,NumofPhysicalAudioMaterials,NumofPhysicalVideoMaterials,NumofCurrentSerialSubscriptions,NumofElectronicBooks,NumofElectronicCollections,TotalPrintMaterialsHeld,NumofDownloadableAudioMaterials,NumofDownloadableVideoMaterials,CirculationofNonEnglishMaterials,CirculationofElectronicMaterials,ILLloanstoothers,ILLloansreceived,ReferenceQuestions,NumofPrograms,NumofYoungAdultPrograms,YoungAdultProgramAttendance,ChildrensProgramAttendance,TotalProgramAttendance,NumofAdultPrograms,AdultProgramAttendance,CIPACompliant,AnnualUsesofPublicInternetComputers,NumofInternetTerminals,Websitevisits,FSCSID,NumofChildrensPrograms
20-21,RIVERSIDE PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,3900 MISSION INN AVE.,RIVERSIDE,92501,3377,http://www.riversideca.gov/library/,"324,302","329,596","83,763",1,7,1,9,"13,854","2,754",49,9,51,9,"$7,612,836 ","$7,010,753 ","$74,600 ","$181,735 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$345,748 ","$7,512,836 ","$304,304 ","$125,000 ","$3,000 ","$108,398 ","$67,906 ","$128,000 ","$2,705,817 ","$1,096,842 ","$3,802,659 ",$0 ,"$3,405,873 ","119,600","15,688","9,048","16,594",2,"112,943",12,"251,258","10,154","5,998","3,418","89,851",0,8,"16,709",834,11,"4,589","31,529","42,691",18,"4,726",Yes,"1,727",316,"4,167,048",CA0103,803
20-21,ROSEVILLE PUBLIC LIBRARY,Placer,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,225 TAYLOR ST.,ROSEVILLE,95678,2681,http://www.roseville.ca.us/library,"146,875","106,280","19,516",1,2,0,3,"143,445","5,576",56,8.75,21,6.25,"$4,669,350 ","$4,546,267 ","$27,333 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$95,750 ","$4,736,857 ","$361,246 ","$200,835 ",$0 ,"$123,742 ","$36,669 ","$200,835 ","$1,682,808 ","$844,610 ","$2,527,418 ",$0 ,"$1,848,193 ","67,147","11,679","8,626","11,349",28,"19,698",25,"158,199","7,673","24,032","2,712","168,530",25,21,"22,406",204,0,0,"2,025","2,578",118,553,Yes,"9,128",99,"1,134,204",CA0104,86
20-21,SACRAMENTO PUBLIC LIBRARY,Sacramento,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,828 I ST.,SACRAMENTO,95814,2508,http://www.saclibrary.org,"1,478,711","692,074","145,543",1,27,2,30,"369,551","33,716",304,88,186.5,79,"$52,112,658 ","$49,128,074 ","$422,345 ","$54,289 ",$0 ,"$211,500 ",$0 ,$0 ,"$211,500 ","$2,507,950 ","$45,135,947 ","$6,854,289 ","$2,409,981 ","$119,478 ","$3,868,760 ","$456,070 ","$2,529,459 ","$20,651,731 ","$5,651,556 ","$26,303,287 ","$1,076,516 ","$11,978,371 ","458,887","79,768","24,760","80,107","1,073","304,369",58,"1,070,181","195,774","47,284","31,057","3,201,252","190,331","103,337",-1,"1,283",265,"3,073","16,867","26,636",372,"5,568",Yes,"40,003",781,"3,700,140",CA0105,634
20-21,SALINAS PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,350 LINCOLN AVE.,SALINAS,93901,2692,https://www.salinaspubliclibrary.org,"160,206","48,810","22,362",1,2,1,4,"17,925","1,469",40,12,23,5,"$5,425,269 ","$5,202,951 ","$222,318 ",$0 ,$0 ,"$260,000 ",$0 ,"$78,500 ","$338,500 ",$0 ,"$3,925,957 ","$309,937 ","$94,800 ","$12,721 ","$170,518 ","$31,898 ","$107,521 ","$1,534,559 ","$1,605,725 ","$3,140,284 ","$111,415 ","$475,736 ","86,907","10,445","9,210","16,812",,"571,150",19,"172,025","521,054","45,569","3,470","47,093",0,0,"2,400",208,5,110,"4,609","5,833",61,"1,114",No,687,144,"79,649",CA0106,142
20-21,SAN ANSELMO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,110 TUNSTEAD AVE.,SAN ANSELMO,94960,2617,http://sananselmolibrary.org,"12,689","7,841","1,005",1,0,0,1,"1,533",108,5,3,2,3,"$903,349 ","$893,349 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ","$750,467 ","$96,852 ","$38,352 ","$6,500 ","$50,000 ","$2,000 ","$44,852 ","$372,599 ","$148,680 ","$521,279 ",$0 ,"$132,336 ","14,038","1,085","2,354","3,075",95,"705,500",18,"43,565","442,279","77,593",535,"41,855","21,788","19,266",-1,96,1,45,135,"1,186",64,941,No,8,4,"32,916",CA0107,28
20-21,SAN BENITO COUNTY FREE LIBRARY,San Benito,County Library General Fund,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,470 FIFTH ST.,HOLLISTER,95023,3885,www.sbcfl.org,"61,375","48,084","21,930",1,0,1,2,256,41,16,5,7,4,"$1,429,762 ","$1,271,393 ","$65,112 ","$65,509 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$27,748 ","$1,429,760 ","$263,987 ","$135,000 ","$3,000 ","$123,202 ","$2,785 ","$138,000 ","$598,285 ","$271,420 ","$869,705 ",$0 ,"$296,068 ","38,350","8,760","1,927","10,419",23,"563,912",41,"115,747","134,782","52,189","14,667","24,813",0,0,"9,105",377,36,382,"5,216","7,123",52,624,Yes,397,23,"175,650",CA0108,236
20-21,SAN BERNARDINO COUNTY LIBRARY,San Bernardino,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Inland Library System,777 EAST RIALTO AVE,SAN BERNARDINO,92415,35,www.sbclib.org,"1,271,448","608,509","173,454",0,32,0,32,"619,402","49,626",308,28,75,5,"$24,808,120 ","$23,168,926 ","$210,663 ","$1,037,140 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$391,391 ","$16,831,287 ","$1,623,748 ","$627,912 ","$32,215 ","$963,621 ",$0 ,"$660,127 ","$6,413,931 ","$2,056,139 ","$8,470,070 ","$821,514 ","$6,737,469 ","534,101","110,638","29,671","77,969",855,"63,391",26,"1,162,739","16,480","3,000","24,907","937,757",63,32,-1,"4,214",178,"12,718","180,126","193,304",4,42,Yes,"93,830",793,"607,881",CA0109,"4,028"
20-21,SAN BERNARDINO PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,555 W. SIXTH ST.,SAN BERNARDINO,92410,3094,http://www.sbpl.org,"216,291","20,039","3,139",1,3,0,4,"6,004","3,492",35,4,18,4,"$2,475,919 ","$2,120,702 ","$235,612 ","$29,605 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$90,000 ","$2,475,919 ","$181,860 ","$106,560 ","$15,300 ","$60,000 ",$0 ,"$121,860 ","$1,110,381 ","$442,457 ","$1,552,838 ",$0 ,"$741,221 ","58,661","6,655",919,"9,883",151,"162,496",9,"194,946","1,341",0,106,"9,171",23,5,"9,569",40,0,0,"3,970","4,546",0,0,Yes,672,62,"25,000",CA0110,38
20-21,SAN BRUNO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,701 ANGUS AVE. W.,SAN BRUNO,94066,3490,http://www.sanbrunolibrary.org,"44,936","20,905","4,613",1,0,0,1,"4,372",116,16,5,4.4,5,"$2,324,635 ","$2,272,024 ",$0 ,"$27,600 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$25,011 ","$2,260,564 ","$170,023 ","$107,427 ","$7,922 ","$43,989 ","$10,685 ","$115,349 ","$780,094 ","$463,891 ","$1,243,985 ",$0 ,"$846,556 ","27,310","1,925","6,635","10,037",121,"192,407",36,"65,957","25,377","26,108","2,048","40,456","52,691","23,354","7,468",179,1,83,"5,530","5,936",5,96,No,443,17,"18,856",CA0111,166
20-21,SAN DIEGO COUNTY LIBRARY,San Diego,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Serra Cooperative Library System,"5560 OVERLAND AVE., SUITE 110",SAN DIEGO,92123,1204,https://www.sdcl.org,"1,100,872","418,108","58,847",0,33,2,35,"520,000","18,612",263,92,158,79.25,"$51,393,041 ","$48,431,857 ","$237,702 ","$2,255,834 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$467,648 ","$54,582,737 ","$6,524,880 ","$1,837,186 ","$28,147 ","$4,084,164 ","$575,383 ","$1,865,333 ","$14,531,411 ","$11,934,127 ","$26,465,538 ","$1,346,865 ","$21,592,319 ","373,043","45,143","45,841","150,747",605,"215,271",23,"745,171","89,266","2,174","52,991","3,676,514",0,0,-1,43,1,364,348,"1,164",41,452,Yes,"55,900",611,"2,130,000",CA0112,1
20-21,SAN DIEGO PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,330 PARK BLVD,SAN DIEGO,92101,7416,http://www.sandiego.gov/public-library,"1,411,034","682,144","125,538",1,35,0,36,"418,787","19,068",550,111.6,260.9,100.28,"$58,192,375 ","$53,540,041 ","$293,022 ","$60,400 ",$0 ,$0 ,$0 ,"$15,302 ","$15,302 ","$4,298,912 ","$55,339,976 ","$3,147,376 ","$1,898,891 ","$313,900 ","$670,814 ","$263,771 ","$2,212,791 ","$20,506,672 ","$18,140,559 ","$38,647,231 ","$2,202,346 ","$13,545,369 ","617,670","112,736","136,061","147,338","5,593","119,549",63,"2,043,395","8,252",0,"77,190","677,505","2,304","2,668",-1,"3,535",,,"56,896","78,745","1,085","21,849",Yes,"70,035",181,"2,665,720",CA0113,"2,450"
20-21,SAN FRANCISCO PUBLIC LIBRARY,San Francisco,Municipal Library,County/Parish (exactly),Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,100 LARKIN ST,SAN FRANCISCO,94102,4705,http://sfpl.org,"875,010","542,945","70,548",1,27,4,32,"69,016","2,283",876,206,466,206,"$146,606,933 ","$144,455,741 ","$53,885 ",$0 ,"$6,850,000 ",$0 ,$0 ,$0 ,"$6,850,000 ","$2,097,307 ","$136,435,564 ","$18,904,898 ","$3,782,101 ","$577,236 ","$13,555,446 ","$990,115 ","$4,359,337 ","$59,215,082 ","$36,390,069 ","$95,605,151 ","$9,724,613 ","$21,925,515 ","538,235","81,612","63,704","182,529","5,262","947,323",252,"2,110,930","247,970","48,257","162,580","6,169,114","12,332","4,146","58,188","1,511",132,"3,937","12,686","61,775",716,"44,397",No,421,"1,307","6,628,658",CA0114,648
20-21,SAN JOSE PUBLIC LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,150 E SAN FERNANDO STREET,SAN JOSE,95112,3580,http://www.sjpl.org,"1,029,782","689,379","107,039",1,24,0,25,"497,794","6,808",511,89.3,283.17,87.3,"$46,265,991 ","$45,689,031 ","$506,530 ",$0 ,"$17,905,450 ",$0 ,$0 ,$0 ,"$17,905,450 ","$70,430 ","$42,452,789 ","$4,876,145 ","$1,527,685 ","$14,995 ","$2,152,088 ","$1,181,377 ","$1,542,680 ","$22,946,116 ","$13,874,432 ","$36,820,548 ","$2,101,482 ","$756,096 ","851,297","108,197","94,628","224,552",418,"329,327",76,"1,750,044","92,292","22,269","158,245","1,377,184","10,850","11,447","50,253","6,188",621,"6,525","84,167","124,165","2,561","29,489",No,"2,911","1,039","1,996,488",CA0115,"2,651"
20-21,SAN JUAN BAUTISTA CITY LIBRARY,San Benito,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,801 SECOND ST.,SAN JUAN BAUTISTA,95045,1420,http://www.san-juan-bautista.ca.us/city/library.htm,"2,151",,263,1,0,0,1,460,"1,520",,NA,NA,NA,"$50,063 ","$49,514 ",,,,,,"$30,789 ","$30,789 ",$549 ,"$50,063 ","$2,012 ","$1,262 ",$750 ,,,"$2,012 ","$22,649 ","$3,264 ","$25,913 ","$30,789 ","$22,138 ","3,982",415,233,"1,525",2,-1,1,"7,791",-1,-1,13,,0,30,2,7,0,0,,0,0,0,No,-1,5,-1,CA0116,7
20-21,SAN LEANDRO PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,300 ESTUDILLO AVE.,SAN LEANDRO,94577,4706,http://www.sanleandrolibrary.org,"87,289","25,779","6,973",1,3,0,4,-1,181,55,23.5,21.6,23,"$6,313,852 ","$6,165,704 ","$115,753 ","$15,382 ","$306,491 ",$0 ,$0 ,"$52,000 ","$358,491 ","$17,013 ","$5,557,104 ","$378,181 ","$159,325 ","$22,293 ","$153,545 ","$43,018 ","$181,618 ","$2,030,984 ","$1,109,317 ","$3,140,301 ","$358,491 ","$2,038,622 ","93,458","16,555","12,989","21,482",276,"13,875",19,"323,674","2,874",0,"1,328","48,342",0,0,"3,950",307,60,294,"1,644","3,279",45,859,Yes,"1,125",89,"104,659",CA0117,191
20-21,SAN LUIS OBISPO CITY-COUNTY LIBRARY,San Luis Obispo,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,Black Gold Cooperative Library System,995 PALM ST.,SAN LUIS OBISPO,93401,3218,http://slolibrary.org,"240,099","58,243","6,041",1,13,0,14,"234,918","8,776",82,18,55,17,"$11,739,592 ","$11,019,624 ","$251,735 ","$12,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$456,233 ","$11,477,391 ","$946,362 ","$470,591 ","$18,371 ","$177,588 ","$279,812 ","$488,962 ","$3,677,626 ","$3,502,673 ","$7,180,299 ",$0 ,"$3,350,730 ","135,379","16,450","24,255","54,814",271,"187,108",19,"267,610","52,855","32,837","19,792","454,761","14,890","29,418",-1,135,15,312,"1,547","2,729",73,870,Yes,"10,183",30,"313,167",CA0118,47
20-21,SAN MATEO COUNTY LIBRARIES,San Mateo,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,125 LESSINGIA COURT,SAN MATEO,94402,4065,http://smcl.org,"280,386","196,942","48,178",0,12,1,13,"54,452","2,304",129,48.75,66.02,48.75,"$36,475,242 ","$34,611,785 ","$86,515 ","$145,825 ","$879,808 ",$0 ,$0 ,$0 ,"$879,808 ","$1,631,117 ","$31,340,088 ","$2,734,716 ","$1,241,392 ","$26,669 ","$1,197,405 ","$269,250 ","$1,268,061 ","$11,643,082 ","$5,910,624 ","$17,553,706 ","$1,183,148 ","$11,051,666 ","226,751","16,099","25,941","49,197",959,"793,792",50,"395,233","184,609","48,312","118,684","733,040","354,428","141,766",-1,"1,168",99,"3,854","17,294","34,798",585,"13,650",No,"4,147",485,"2,124,278",CA0120,484
20-21,SAN MATEO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,55 WEST THIRD AVE,SAN MATEO,94402,1513,http://www.smplibrary.org,"106,842","66,469","14,529",1,2,0,3,"25,168",492,82,16.87,37.09,16.87,"$7,322,153 ","$6,974,923 ","$133,970 ","$9,570 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$203,690 ","$7,322,153 ","$567,432 ","$249,858 ","$39,302 ","$210,397 ","$67,875 ","$289,160 ","$3,080,741 ","$1,493,774 ","$4,574,515 ",$0 ,"$2,180,206 ","83,897","8,611","18,951","20,176",299,"943,799",31,"245,736","164,506","24,721","29,571","258,352","123,572","100,330","16,278",385,57,593,"4,179","5,686",60,914,No,"51,281",130,"103,165",CA0121,268
20-21,SAN RAFAEL PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1100 E ST.,SAN RAFAEL,94901,1900,http://www.srpubliclibrary.org,"59,016","36,283","7,313",1,2,0,3,"9,984",312,58,11,8.66,10,"$3,752,709 ","$3,718,866 ","$9,542 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$24,301 ","$3,743,167 ","$210,704 ","$166,518 ",$0 ,"$25,413 ","$18,773 ","$166,518 ","$1,434,191 ","$1,010,400 ","$2,444,591 ","$71,953 ","$1,087,872 ","34,676","2,514","3,238","5,318",0,"540,680",44,"103,339","439,690","76,406","2,441","193,017","61,596","54,938",-1,256,5,31,"1,404","23,494",193,"22,059",No,348,14,"128,903",CA0122,58
20-21,SANTA ANA PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,26 CIVIC CENTER PLAZA,SANTA ANA,92701,4010,https://www.santa-ana.org/library,"331,369","187,353","96,308",1,5,0,6,"6,309",472,78,14,35.5,14,"$6,204,556 ","$4,847,886 ",$0 ,"$84,147 ","$730,683 ",$0 ,$0 ,$0 ,"$730,683 ","$1,272,523 ","$5,107,272 ","$456,633 ","$172,265 ","$8,900 ","$135,468 ","$140,000 ","$181,165 ","$2,461,736 ","$683,375 ","$3,145,111 ","$730,683 ","$1,505,528 ","83,540","15,769","6,358","9,325",61,"174,590",4,"195,202",598,"27,133","8,802","22,024",49,12,"12,587",233,97,269,886,"1,597",29,150,Yes,641,115,"97,232",CA0123,11
20-21,SANTA BARBARA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,40 E. ANAPAMU ST.,SANTA BARBARA,93101,2722,http://sbplibrary.org,"123,829","61,031","10,389",1,3,1,5,-1,347,57,15,45.45,14,"$6,279,096 ","$5,542,781 ","$239,608 ","$41,975 ",$0 ,$0 ,$0 ,"$111,336 ","$111,336 ","$454,732 ","$6,092,290 ","$664,513 ","$284,571 ",$158 ,"$303,739 ","$76,045 ","$284,729 ","$2,269,058 ","$1,243,979 ","$3,513,037 ","$424,448 ","$1,914,740 ","49,095","3,858","4,085","17,106",120,"203,089",13,"117,035","67,412","42,273","9,642","299,840",0,2,-1,933,99,"1,558","6,899","15,541",453,"4,863",Yes,567,26,"384,132",CA0124,332
20-21,SANTA CLARA CITY LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2635 HOMESTEAD ROAD,SANTA CLARA,95051,5322,http://sclibrary.org,"130,746","135,007","11,146",1,2,1,4,"47,667","1,691",77,16.57,38.01,16.57,"$11,157,684 ","$11,018,929 ","$90,059 ",$0 ,"$128,058 ",$0 ,$0 ,$0 ,"$128,058 ","$48,696 ","$9,434,111 ","$887,003 ","$376,684 ","$33,448 ","$427,495 ","$49,376 ","$410,132 ","$3,982,216 ","$2,026,273 ","$6,008,489 ","$132,677 ","$2,538,619 ","148,045","13,449","14,926","23,670",313,"855,530",61,"351,475","422,688","22,378","15,184","441,679","6,467","2,355","6,633",628,75,"7,004","62,307","88,799",237,"19,488",No,"1,408",21,"1,878,315",CA0125,316
20-21,SANTA CLARA COUNTY LIBRARY,Santa Clara,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,Pacific Library Partnership,1370 DELL AVENUE,CAMPBELL,95008,1817,http://www.sccl.org,"438,509","508,290","139,831",0,8,2,10,"350,620","5,837",432,92,221.9,89,"$64,293,810 ","$63,160,768 ","$129,158 ","$40,868 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$963,016 ","$53,957,288 ","$9,007,190 ","$3,177,325 ","$255,152 ","$4,889,752 ","$684,961 ","$3,432,477 ","$21,525,983 ","$13,252,506 ","$34,778,489 ","$255,152 ","$10,171,609 ","735,036","63,084","147,904","259,414","2,196","206,613",86,"1,452,251","95,345","31,503","230,351","3,152,444",313,221,"97,535",971,29,"4,383","26,565","48,688",460,"17,256",No,"10,950",319,"2,948,272",CA0126,467
20-21,SANTA CLARITA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,23743 VALENCIA BLVD.,SANTA CLARITA,91355,2105,http://www.santaclaritalibrary.com,"221,572","96,855","24,520",0,3,0,3,"45,582","1,767",84,22,36,22,"$8,654,714 ","$8,399,980 ","$4,000 ","$12,385 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$238,349 ","$6,269,426 ","$1,010,571 ","$407,041 ",$0 ,"$554,272 ","$49,258 ","$407,041 ","$2,627,636 ","$895,656 ","$3,523,292 ","$2,156 ","$1,735,563 ","115,651","14,627","8,368","16,621",0,"37,433",39,"231,612","10,654","1,491","4,831","196,893",0,2,-1,664,178,"1,464","11,486","16,026",158,"1,254",Yes,"4,966",169,"248,617",CA0210,293
20-21,SANTA CRUZ PUBLIC LIBRARIES,Santa Cruz,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,Pacific Library Partnership,117 UNION STREET,SANTA CRUZ,95060,3873,http://www.santacruzpl.org/,"209,749","167,502","31,050",1,9,1,11,-1,"8,596",101,26,76.63,26,"$15,759,479 ","$15,290,658 ","$23,559 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$445,262 ","$13,012,742 ","$1,199,804 ","$282,199 ","$51,119 ","$771,183 ","$95,303 ","$333,318 ","$5,967,755 ","$3,061,506 ","$9,029,261 ","$132,132 ","$2,783,677 ","120,192","12,686","34,463","27,530",,"38,046",29,"348,378","43,460","37,795","15,770","464,875",0,0,-1,877,70,"1,111","6,251","12,579",443,"5,217",Yes,-1,298,"795,824",CA0127,364
20-21,SANTA FE SPRINGS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11700 E. TELEGRAPH RD.,SANTA FE SPRINGS,90670,3600,http://www.sfslibrary.org,"18,129","44,961","13,237",1,1,0,2,"1,955","3,000",15,4,7.5,4,"$1,713,554 ","$1,649,122 ","$32,163 ","$23,776 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$8,493 ","$1,713,554 ","$136,202 ","$71,643 ",$421 ,"$64,138 ",$0 ,"$72,064 ","$621,833 ","$751,266 ","$1,373,099 ",$0 ,"$204,253 ","15,901","1,568","1,062","6,941",,"684,780",5,"37,501","209,938","49,584","1,362","10,735",67,25,-1,41,0,0,500,500,36,0,Yes,-1,31,-1,CA0128,5
20-21,SANTA MARIA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,421 S. MCCLELLAND ST.,SANTA MARIA,93454,5116,http://www.cityofsantamaria.org/library,"158,581","43,742","7,798",1,4,1,6,"30,552","3,644",60,9,33.5,7,"$3,994,682 ","$3,764,382 ","$85,997 ","$27,000 ","$6,962 ",$0 ,"$10,000 ","$65,703 ","$82,665 ","$117,303 ","$3,215,999 ","$195,147 ","$111,409 ","$10,863 ","$51,667 ","$21,208 ","$122,272 ","$1,357,694 ","$728,415 ","$2,086,109 ","$25,139 ","$934,743 ","55,291","8,344","14,179","19,088",274,"169,384",11,"163,278","23,759","17,154","5,995","76,691","3,012","1,330","4,997",87,10,63,411,656,33,182,Yes,"2,035",146,"71,940",CA0129,44
20-21,SANTA MONICA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,601 SANTA MONICA BLVD,SANTA MONICA,90401,2501,https://www.smpl.org,"92,968","81,452","4,967",1,4,0,5,"9,810",114,70,21,26.8,21,"$8,735,003 ","$8,627,913 ","$83,376 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$23,714 ","$8,625,785 ","$744,554 ","$294,885 ","$35,031 ","$363,705 ","$50,933 ","$329,916 ","$4,426,866 ","$2,488,205 ","$6,915,071 ","$25,594 ","$966,160 ","119,920","17,943","21,449","37,969",73,"511,204",19,"373,757","424,166","19,738","17,793","220,803",0,6,"38,976",126,2,18,669,"2,089",77,"1,402",No,"21,961",14,"570,541",CA0130,47
20-21,SAUSALITO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,420 LITHO ST.,SAUSALITO,94965,1933,http://www.sausalitolibrary.org,"7,355","5,159",333,1,0,0,1,"2,504",86,6,3,0.5,3,"$683,794 ","$527,324 ","$3,470 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$153,000 ","$683,724 ","$69,738 ","$39,906 ","$6,070 ","$17,579 ","$6,183 ","$45,976 ","$390,225 ","$143,106 ","$533,331 ",$0 ,"$80,655 ","9,574","1,371","2,633","3,883",114,"601,773",23,"44,941","439,899","47,982",99,"32,868","26,372","10,386","1,064",33,0,0,0,689,32,647,No,40,8,"27,399",CA0132,0
20-21,SHASTA PUBLIC LIBRARIES,Shasta,Municipal Library,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1100 PARKVIEW,REDDING,96001,3231,http://www.shastalibraries.org,"177,797","60,749","17,446",1,2,0,3,"240,745","5,996",31,5.8,16.65,5.8,"$2,425,392 ","$2,290,081 ","$70,997 ",$0 ,$0 ,$0 ,$0 ,"$17,130 ","$17,130 ","$64,314 ","$2,543,502 ","$230,368 ","$126,699 ","$3,341 ","$75,309 ","$25,019 ","$130,040 ",$0 ,$0 ,$0 ,"$43,666 ","$2,313,134 ","45,027","5,811","11,191","8,847",83,"205,378",29,"161,457","18,025",290,"1,170","85,517",0,0,"64,626",821,93,"1,487","12,432","18,089",534,"4,170",Yes,"27,372",96,"142,031",CA0133,194
